"","Plate","Column","Family"
"254",51,4,"14"
"255",51,5,"33"
"256",52,1,"78"
"257",52,2,"21"
"258",52,3,"70"
"259",52,4,"6"
"260",52,5,"41"
"261",53,1,"61"
"262",53,2,"77"
"263",53,3,"48"
"264",53,4,"50"
"265",53,5,"51"
"266",54,1,"31"
"267",54,2,"90"
"268",54,3,"14"
"269",54,4,"19"
"270",54,5,"79"
"271",55,1,"15"
"272",55,2,"32"
"273",55,3,"6"
"274",55,4,"71"
"275",55,5,"37"
"276",56,1,"15"
"277",56,2,"20"
"278",56,3,"47"
"279",56,4,"90"
"280",56,5,"6"
"281",57,1,"83"
"282",57,2,"61"
"283",57,3,"26"
"284",57,4,"20"
"285",57,5,"39"
"286",58,1,"31"
"287",58,2,"60"
"288",58,3,"50"
"289",58,4,"34"
"290",58,5,"21"
"291",59,1,"84"
"292",59,2,"7"
"293",59,3,"41"
"294",59,4,"20"
"295",59,5,"31"
"296",60,1,"79"
"297",60,2,"14"
"298",60,3,"12"
"299",60,4,"21"
"300",60,5,"85"
"301",61,1,"43"
"302",61,2,"80"
"303",61,3,"21"
"304",61,4,"34"
"305",61,5,"80"
"306",62,1,"5"
"307",62,2,"57"
"308",62,3,"72"
"309",62,4,"88"
"310",62,5,"90"
"311",63,1,"77"
"312",63,2,"84"
"313",63,3,"61"
"314",63,4,"5"
"315",63,5,"38"
"316",64,1,"39"
"317",64,2,"5"
"318",64,3,"38"
"319",64,4,"84"
"320",64,5,"39"
"321",65,1,"76"
"322",65,2,"55"
"323",65,3,"43"
"324",65,4,"7"
"325",65,5,"51"
"326",66,1,"32"
"327",66,2,"49"
"328",66,3,"78"
"329",66,4,"78"
"330",66,5,"51"
"331",67,1,"42"
"332",67,2,"32"
"333",67,3,"50"
"334",67,4,"83"
"335",67,5,"34"
"336",68,1,"26"
"337",68,2,"70"
"338",68,3,"7"
"339",68,4,"31"
"340",68,5,"74"
"341",69,1,"72"
"342",69,2,"54"
"343",69,3,"19"
"344",69,4,"26"
"345",69,5,"19"
"346",70,1,"5"
"347",70,2,"85"
"348",70,3,"79"
"349",70,4,"19"
"350",70,5,"41"
