date,plate,well,timepoint,family,ploidy,value,unique
20250826,plate1,A02,0,HNRY,diploid,0,20250826 plate1 A02
20250826,plate1,A02,1,HNRY,diploid,0.8972368290074993,20250826 plate1 A02
20250826,plate1,A02,2,HNRY,diploid,0.8846859471118573,20250826 plate1 A02
20250826,plate1,A02,3,HNRY,diploid,1.0584807849356894,20250826 plate1 A02
20250826,plate1,A02,4,HNRY,diploid,1.1454038233147783,20250826 plate1 A02
20250826,plate1,A03,0,HNRY,triploid,0,20250826 plate1 A03
20250826,plate1,A03,1,HNRY,triploid,0.7142790149893329,20250826 plate1 A03
20250826,plate1,A03,2,HNRY,triploid,0.940112135912328,20250826 plate1 A03
20250826,plate1,A03,3,HNRY,triploid,1.0925837461857029,20250826 plate1 A03
20250826,plate1,A03,4,HNRY,triploid,1.1864370055327913,20250826 plate1 A03
20250826,plate1,A04,0,HNRY,diploid,0,20250826 plate1 A04
20250826,plate1,A04,1,HNRY,diploid,0.7145172894041817,20250826 plate1 A04
20250826,plate1,A04,2,HNRY,diploid,1.3144651125924902,20250826 plate1 A04
20250826,plate1,A04,3,HNRY,diploid,1.3632706209479502,20250826 plate1 A04
20250826,plate1,A04,4,HNRY,diploid,1.4801656277190312,20250826 plate1 A04
20250826,plate1,A05,0,HNRY,triploid,0,20250826 plate1 A05
20250826,plate1,A05,1,HNRY,triploid,0.626814821295046,20250826 plate1 A05
20250826,plate1,A05,2,HNRY,triploid,0.8032447331015216,20250826 plate1 A05
20250826,plate1,A05,3,HNRY,triploid,0.8277389928242639,20250826 plate1 A05
20250826,plate1,A05,4,HNRY,triploid,0.8421620189702774,20250826 plate1 A05
20250826,plate1,A06,0,HNRY,diploid,0,20250826 plate1 A06
20250826,plate1,A06,1,HNRY,diploid,1.0569414142167664,20250826 plate1 A06
20250826,plate1,A06,2,HNRY,diploid,1.0171824452402773,20250826 plate1 A06
20250826,plate1,A06,3,HNRY,diploid,1.149713036097997,20250826 plate1 A06
20250826,plate1,A06,4,HNRY,diploid,0.9948613375915568,20250826 plate1 A06
20250826,plate1,A07,0,HNRY,triploid,0,20250826 plate1 A07
20250826,plate1,A07,1,HNRY,triploid,0.6585223724333675,20250826 plate1 A07
20250826,plate1,A07,2,HNRY,triploid,0.7075299528815651,20250826 plate1 A07
20250826,plate1,A07,3,HNRY,triploid,0.9451877373148329,20250826 plate1 A07
20250826,plate1,A07,4,HNRY,triploid,0.9128225463917761,20250826 plate1 A07
20250826,plate1,A08,0,HNRY,diploid,0,20250826 plate1 A08
20250826,plate1,A08,1,HNRY,diploid,0.5471382998663685,20250826 plate1 A08
20250826,plate1,A08,2,HNRY,diploid,0.637215104322707,20250826 plate1 A08
20250826,plate1,A08,3,HNRY,diploid,0.746137513324349,20250826 plate1 A08
20250826,plate1,A08,4,HNRY,diploid,0.7569599547718724,20250826 plate1 A08
20250826,plate1,B02,0,HNRY,diploid,0,20250826 plate1 B02
20250826,plate1,B02,1,HNRY,diploid,0.6325060265378298,20250826 plate1 B02
20250826,plate1,B02,2,HNRY,diploid,0.6505820555623602,20250826 plate1 B02
