ploidy,value_metric,feature,family_id_group,n,mean,sd,se,median,iqr
diploid,corrected_fc,auc_early,hnry,83,0.9768268430441179,0.3442046607058074,0.037781369867375396,0.9013737077942183,0.38421424751296473
diploid,corrected_fc,auc_late,hnry,83,1.975869014911978,0.7681119893285427,0.08431124409785642,1.8301713176355265,0.8778622403123184
diploid,corrected_fc,auc_total,hnry,83,2.952695857956096,1.0864142207088605,0.1192494529783842,2.6886473375782796,1.1459635883631294
diploid,corrected_fc,baseline_value,hnry,83,0,0,0,0,0
diploid,corrected_fc,delta_auc_late_minus_early,hnry,83,0.99904217186786,0.4864667452614433,0.05339666230321553,0.9217386491983641,0.616034021389969
diploid,corrected_fc,depression_abs,hnry,83,0.025195965630269768,0.05690836120237682,0.0062465041546048965,0,0.011406206970749178
diploid,corrected_fc,final_delta,hnry,83,1.0603269016276449,0.3967377517286193,0.04354762572846539,1.0093807908614332,0.42744759222120954
diploid,corrected_fc,final_value,hnry,83,1.0603269016276449,0.3967377517286193,0.04354762572846539,1.0093807908614332,0.42744759222120954
diploid,corrected_fc,inflection_time,hnry,83,2.162650602409639,0.845030067782768,0.0927541000592134,1.5,1
diploid,corrected_fc,initial_slope,hnry,83,0.5784620560366721,0.1960123126276894,0.021515146444446163,0.5389106288053067,0.2435236702086444
diploid,corrected_fc,late_early_auc_ratio,hnry,83,2.033283825570326,0.34930522959845817,0.03834123003740364,2.012455842263378,0.4922182014015335
diploid,corrected_fc,metabolic_depression_index,hnry,83,0.018295828235122095,0.03879213984968306,0.004257990524017039,0,0.013082691618474394
diploid,corrected_fc,metabolic_scope,hnry,83,1.0855228672579147,0.41997164645018265,0.04609787698925616,1.01778867470797,0.4735591087846929
diploid,corrected_fc,min_slope,hnry,83,-0.006954669013041062,0.07781509538436708,0.00854131636089222,0.010785366519756034,0.0753724710796273
diploid,corrected_fc,peak_value,hnry,83,1.0855228672579147,0.41997164645018265,0.04609787698925616,1.01778867470797,0.4735591087846929
diploid,corrected_fc,resilience_ratio,hnry,83,0.9817041717648779,0.03879213984968307,0.0042579905240170395,1,0.013082691618474418
diploid,corrected_fc,stability_cv,hnry,83,0.6382923678287664,0.04958771116834532,0.005442958420975927,0.6342820342741557,0.06322740989763964
diploid,corrected_fc,time_to_min_slope,hnry,83,2.9939759036144578,0.817096196622059,0.08968795936261083,3.5,1
diploid,corrected_fc,time_to_peak,hnry,83,3.602409638554217,0.5830901498334495,0.06400245880374625,4,1
diploid,corrected_fc,time_to_trough,hnry,83,0,0,0,0,0
diploid,corrected_fc,time_to_vmax,hnry,83,0.6686746987951808,0.4893818178276906,0.053716633086265904,0.5,0
diploid,corrected_fc,trough_value,hnry,83,0,0,0,0,0
diploid,corrected_fc,vmax,hnry,83,0.594644451796757,0.20285491324784571,0.02226621943792262,0.5471382998663685,0.28273814538990016
triploid,corrected_fc,auc_early,hnry,81,0.934221705807203,0.2976597542599044,0.033073306028878265,0.8973684279513401,0.4453763281147811
triploid,corrected_fc,auc_late,hnry,81,1.781663936021243,0.5628661238220153,0.06254068042466837,1.7593079872180475,0.8290112576237987
triploid,corrected_fc,auc_total,hnry,81,2.715885641828446,0.8278252359330762,0.0919805817703418,2.7193361822870177,1.245199727323866
triploid,corrected_fc,baseline_value,hnry,81,0,0,0,0,0
triploid,corrected_fc,delta_auc_late_minus_early,hnry,81,0.8474422302140401,0.35432271174357516,0.03936919019373057,0.8142802416194759,0.4683583982278259
triploid,corrected_fc,depression_abs,hnry,81,0.016245276868061556,0.030497333614148404,0.0033885926237942673,0,0.019163832023022964
triploid,corrected_fc,final_delta,hnry,81,0.9565846437060957,0.2947808078777998,0.03275342309753331,0.943507414837042,0.41660798017460166
triploid,corrected_fc,final_value,hnry,81,0.9565846437060957,0.2947808078777998,0.03275342309753331,0.943507414837042,0.41660798017460166
triploid,corrected_fc,inflection_time,hnry,81,1.9567901234567902,0.7753931698830178,0.08615479665366864,1.5,1
triploid,corrected_fc,initial_slope,hnry,81,0.5762567186241762,0.17854134128823518,0.01983792680980391,0.5590774290319579,0.2357203998844578
triploid,corrected_fc,late_early_auc_ratio,hnry,81,1.9513014498727212,0.40378800771703977,0.044865334190782195,1.830044995409991,0.459575135164892
triploid,corrected_fc,metabolic_depression_index,hnry,81,0.015537109055696482,0.02878849340144937,0.0031987214890499297,0,0.019225249607536715
