trace_id,live_dead_sampling,shell_height,shell_length,shell_width,cup,fan,whole_wet_weight,dry_shell_weight,dry_tissue_weight,condition_index,notes,length_mm,ploidy,survived,growth_abs,growth_log,yield_dtw,yield_www,perf_composite
20250826 plate2 A06,0,64.19,54.2,25.05,0.39024770213428883,0.8443682816638106,50.776,32.701,4.026,9.742738589211616,NA,21.08,diploid,1,43.11,1.1135227116505253,4.026,50.776,77.14285714285715
20250826 plate2 B06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.34,diploid,0,NA,NA,0,0,NA
20250826 plate2 C06,0,69.08,65.79,27.45,0.39736537348002315,0.9523740590619573,69.63,47.07,3.711,6.60904255319149,NA,23.4,diploid,1,45.68,1.0825292309148222,3.711,69.63,51.42857142857144
20250826 plate2 D06,0,57.77,48.55,23.84,0.41267093647221736,0.8404015925220701,46.397,32.123,3.45,8.58203727056186,NA,24.44,diploid,1,33.33,0.8602484754897796,3.45,46.397,37.857142857142854
20250826 plate2 E06,0,69.53,57.27,29,0.41708614986336834,0.8236732345750036,75.364,52.001,4.767,10.859050635620424,NA,26.07,diploid,1,43.46,0.980973086165516,4.767,75.364,82.14285714285714
20250826 plate2 F06,0,73.68,58.8,26.62,0.36129207383279044,0.7980456026058631,68.077,46.522,4.407,10.178612850846672,NA,23.73,diploid,1,49.95,1.1329913214993794,4.407,68.077,92.85714285714286
20250826 plate2 A07,0,69.37,51.27,28.54,0.41141703906587856,0.7390802940752487,67.634,47.606,4.302,10.3654883163571,NA,23.63,triploid,1,45.74000000000001,1.0769374061983936,4.302,67.634,64.70588235294117
20250826 plate2 B07,1,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.74,triploid,0,NA,NA,0,0,NA
20250826 plate2 C07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.72,triploid,0,NA,NA,0,0,NA
20250826 plate2 D07,1,60.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.83,triploid,0,NA,NA,0,0,NA
20250826 plate2 E07,0,75.13,55.29,26.56,0.3535205643551178,0.7359243977106349,72.873,51.536,3.932,7.972067300932652,NA,32.59,triploid,1,42.53999999999999,0.835214453531599,3.932,72.873,36.274509803921575
20250826 plate2 F07,1,71.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.82,triploid,0,NA,NA,0,0,NA
20250826 plate3 A01,0,64.96,52.33,30.47,0.469057881773399,0.8055726600985222,72.623,53.861,4.209,10.457307323313074,NA,25.19,triploid,1,39.769999999999996,0.9473246054889035,4.209,72.623,48.03921568627451
20250826 plate3 B01,0,71.25,52.11,25.35,0.35578947368421054,0.7313684210526316,60.967,43.987,3.967,10.276796230859837,NA,31.13,triploid,1,40.120000000000005,0.8280228346952431,3.967,60.967,45.09803921568627
20250826 plate3 C01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.95,triploid,NA,NA,NA,NA,NA,NA
