trace_id,live_dead_sampling,shell_height,shell_length,shell_width,cup,fan,whole_wet_weight,dry_shell_weight,dry_tissue_weight,condition_index,notes,length_mm,ploidy,survived,growth_abs,growth_log,yield_dtw,yield_www,perf_composite
20250826 plate4 A07,0,69.8,55.77,26.17,0.37492836676217767,0.7989971346704872,63.31,46.106,3.81,9.090909090909092,NA,27.06,triploid,1,42.739999999999995,0.9475773870256848,3.81,63.31,44.11764705882353
20250826 plate4 B07,0,65.87,47,28.06,0.4259905875208744,0.7135266433884925,62.318,48.117,3.198,6.893880712625871,NA,25.61,triploid,1,40.260000000000005,0.9447002024411678,3.198,62.318,21.568627450980394
20250826 plate4 C07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.03,triploid,0,NA,NA,0,0,NA
20250826 plate4 D07,1,58.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,triploid,0,NA,NA,0,0,NA
20250826 plate4 E07,0,74.42,59.14,29.76,0.39989250201558724,0.7946788497715668,85.211,56.759,5.274,10.607338675664279,NA,25.14,triploid,1,49.28,1.085264519756375,5.274,85.211,81.37254901960785
20250826 plate4 A08,0,57.01,49.59,22.79,0.3997544290475355,0.8698473951938257,38.699,26.021,3.331,8.581795235841618,NA,23.63,diploid,1,33.379999999999995,0.880709599844674,3.331,38.699,37.857142857142854
20250826 plate4 B08,0,63.69,53.29,24.61,0.38640288899356257,0.8367090595069869,60.421,41.664,3.922,8.999306925414514,NA,18.23,diploid,1,45.459999999999994,1.2509589756927026,3.922,60.421,76.42857142857142
20250826 plate4 C08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.69,diploid,NA,NA,NA,NA,NA,NA
20250826 plate4 D08,0,65.17,62.79,27.29,0.41875095903022863,0.9634801288936626,66.191,48.044,3.716,8.161128561194687,NA,21.5,diploid,1,43.67,1.108946305210672,3.716,66.191,65
20250826 plate4 E08,0,57.38,44.86,26.66,0.46462181944928543,0.7818055071453468,50.669,34.212,3.087,5.22573980676916,NA,21.21,diploid,1,36.17,0.9952230419766277,3.087,50.669,17.142857142857142
20250826 plate4 F08,0,59.77,50.52,26.06,0.43600468462439346,0.8452400870001673,48.955,30.795,3.458,6.657488986784142,NA,22.06,diploid,1,37.71000000000001,0.9967378490108065,3.458,48.955,28.57142857142857
