index_id,n,or_per_sd_diploid,or_per_sd_triploid,interaction_p,scale,feature,adjustment,auc_diploid,auc_triploid
raw_rfu|n_negative_intervals|none,156,1.3689780928019186,1.3505891121099867,0.9778548451924133,raw_rfu,n_negative_intervals,none,0.5586854460093896,0.5701121794871795
raw_rfu|depression_abs|none,156,0.9201679163260562,1.1345314455672806,0.6277578582935815,raw_rfu,depression_abs,none,0.49765258215962443,0.5520833333333334
raw_delta_mm|depression_abs|none,156,0.9153635558904876,1.1285484320234824,0.6264002714794898,raw_delta_mm,depression_abs,none,0.49608763693270735,0.5512820512820513
raw_rfu|metabolic_depression_index|none,156,1.0282339051479197,1.1187491805139347,0.8526622381817957,raw_rfu,metabolic_depression_index,none,0.5039123630672926,0.5464743589743589
raw_rfu|resilience_ratio|none,156,0.973228744429373,0.8944357082299591,0.8524693095591112,raw_rfu,resilience_ratio,none,0.49608763693270735,0.453525641025641
raw_delta|resilience_ratio|none,156,0.9725413595033539,0.8938554033537848,0.8526622381817957,raw_delta,resilience_ratio,none,0.49608763693270735,0.453525641025641
fc_corr|metabolic_depression_index|none,156,1.0301665126737931,1.1179062458836622,0.857324002112296,fc_corr,metabolic_depression_index,none,0.5039123630672926,0.5472756410256411
fc_corr|resilience_ratio|none,156,0.9707168576121772,0.8945293969706177,0.8573240021121719,fc_corr,resilience_ratio,none,0.49608763693270735,0.452724358974359
fc_corr_mm|depression_abs|none,156,0.8772836808807694,1.1114660907625613,0.5726680897397138,fc_corr_mm,depression_abs,none,0.4945226917057903,0.5520833333333334
fc_corr|depression_abs|none,156,0.8813844012216219,1.1205563898304751,0.5687590229255275,fc_corr,depression_abs,none,0.49765258215962443,0.5520833333333334
raw_delta_mm|max_drop|none,156,1.0227854919520034,1.2200044252004396,0.7013413700456723,raw_delta_mm,max_drop,none,0.5414710485133021,0.5625
raw_rfu|max_drop|none,156,1.0336241849435979,1.195504138078804,0.7510523183621403,raw_rfu,max_drop,none,0.543035993740219,0.561698717948718
