stratum,phenotype,scale,adjustment,best_feature,best_assoc,fw_perm_p,q_bh
pooled_adj,dry_tissue_weight,raw_delta,resid,resilience_ratio,-0.08389238480809683,1,0.99994351530698
pooled_adj,dry_tissue_weight,raw_delta_mm,none,depression_abs,0.13182407181334838,0.938,0.99994351530698
pooled_adj,dry_tissue_weight,raw_delta_mm,resid,depression_abs,0.0800713264232871,1,0.99994351530698
pooled_adj,dry_tissue_weight,raw_rfu,none,baseline_value,-0.15869806706058703,0.799,0.99994351530698
pooled_adj,dry_tissue_weight,raw_rfu,resid,time_to_peak,-0.12930655045506748,0.947,0.99994351530698
pooled_adj,growth_abs,fc_corr,none,rate_last_first_ratio,-0.11208419857863307,0.98,0.9524025942739978
pooled_adj,growth_abs,fc_corr,resid,rate_last_first_ratio,-0.11556667655518438,0.969,0.9524025942739978
pooled_adj,growth_abs,fc_corr_mm,none,rate_h4,-0.09701925681340368,0.996,0.9524025942739978
pooled_adj,growth_abs,fc_corr_mm,resid,auc_0_3h,0.10639615121693258,0.986,0.9524025942739978
pooled_adj,growth_abs,raw_delta,none,resilience_ratio,-0.09150687222368377,0.996,0.9524025942739978
pooled_adj,growth_abs,raw_delta,resid,auc_0_3h,0.09180198888186661,0.996,0.9524025942739978
pooled_adj,growth_abs,raw_delta_mm,none,rate_h4,-0.10458397286246791,0.989,0.9524025942739978
pooled_adj,growth_abs,raw_delta_mm,resid,rate_h4,-0.10200435954650397,0.991,0.9524025942739978
pooled_adj,growth_abs,raw_rfu,none,rate_last_first_ratio,-0.11213579084495234,0.98,0.9524025942739978
pooled_adj,growth_abs,raw_rfu,resid,rate_last_first_ratio,-0.11428976796378222,0.975,0.9524025942739978
pooled_adj,perf_composite,fc_corr,none,depression_abs,0.09730233047579444,0.998,0.9942349807543718
pooled_adj,perf_composite,fc_corr,resid,sat_r2,0.10406592097497107,0.995,0.9942349807543718
pooled_adj,perf_composite,fc_corr_mm,none,depression_abs,0.09420944012373486,0.999,0.9942349807543718
pooled_adj,perf_composite,fc_corr_mm,resid,sat_asymptote,-0.12286430575552376,0.965,0.9942349807543718
pooled_adj,perf_composite,raw_delta,none,resilience_ratio,-0.09452708832205449,0.999,0.9942349807543718
pooled_adj,perf_composite,raw_delta,resid,resilience_ratio,-0.10474872967635751,0.995,0.9942349807543718
pooled_adj,perf_composite,raw_delta_mm,none,depression_abs,0.09424622044143502,0.999,0.9942349807543718
pooled_adj,perf_composite,raw_delta_mm,resid,sat_asymptote,-0.12144347690016472,0.972,0.9942349807543718
pooled_adj,perf_composite,raw_rfu,none,rate_h4,-0.09748664984287053,0.998,0.9942349807543718
pooled_adj,perf_composite,raw_rfu,resid,time_to_peak,-0.13261035035190252,0.934,0.9942349807543718
pooled_adj,survived,fc_corr,none,metabolic_depression_index,0.22641044592264103,0.612,0.8728311975820928
pooled_adj,survived,fc_corr,resid,sat_r2,-0.16883116883116878,0.907,0.8728311975820928
pooled_adj,survived,fc_corr_mm,none,depression_abs,0.22641044592264103,0.612,0.8728311975820928
pooled_adj,survived,fc_corr_mm,resid,vmax,0.1500369549150038,0.958,0.8728311975820928
pooled_adj,survived,raw_delta,none,resilience_ratio,-0.22641044592264103,0.612,0.8728311975820928
pooled_adj,survived,raw_delta,resid,stability_cv,0.15447154471544722,0.954,0.8728311975820928
pooled_adj,survived,raw_delta_mm,none,depression_abs,0.22690317812269023,0.611,0.8728311975820928
pooled_adj,survived,raw_delta_mm,resid,vmax,0.14855875831485577,0.964,0.8728311975820928
pooled_adj,survived,raw_rfu,none,n_negative_intervals,0.2567134762256713,0.406,0.8728311975820928
pooled_adj,survived,raw_rfu,resid,sat_r2,-0.17035905271199392,0.901,0.8728311975820928
pooled_adj,yield_dtw,fc_corr,none,vmax,0.1344279068489293,0.838,0.7404117794400136
pooled_adj,yield_dtw,fc_corr,resid,vmax,0.1309441288858043,0.865,0.7404117794400136
pooled_adj,yield_dtw,fc_corr_mm,none,depression_abs,0.12158562762043795,0.913,0.7404117794400136
pooled_adj,yield_dtw,fc_corr_mm,resid,vmax,0.13488079798413555,0.834,0.7404117794400136
pooled_adj,yield_dtw,raw_delta,none,auc_early,0.12719114989825603,0.89,0.7404117794400136
pooled_adj,yield_dtw,raw_delta,resid,auc_0_3h,0.09047054663148071,0.991,0.7404117794400136
pooled_adj,yield_dtw,raw_delta_mm,none,depression_abs,0.12176113858044965,0.912,0.7404117794400136
pooled_adj,yield_dtw,raw_delta_mm,resid,vmax,0.11303275954902844,0.947,0.7404117794400136
pooled_adj,yield_dtw,raw_rfu,none,vmax,0.14263695455840203,0.768,0.7404117794400136
pooled_adj,yield_dtw,raw_rfu,resid,n_negative_intervals,0.13599243986145998,0.823,0.7404117794400136
triploid,condition_index,fc_corr,none,t_half,0.28190899001109876,0.649,0.4412384239300102
triploid,condition_index,fc_corr,resid,delta_auc_late_minus_early,0.3038504226073593,0.525,0.4412384239300102
triploid,condition_index,fc_corr_mm,none,delta_auc_late_minus_early,0.3245966020660804,0.411,0.4412384239300102
triploid,condition_index,fc_corr_mm,resid,delta_auc_late_minus_early,0.29898403483309144,0.557,0.4412384239300102
triploid,condition_index,raw_delta,none,late_early_auc_ratio,0.251088534107402,0.813,0.4412384239300102
triploid,condition_index,raw_delta,resid,value_4h,0.2171091949116366,0.929,0.4654631163787432
triploid,condition_index,raw_delta_mm,none,delta_auc_late_minus_early,0.3099974387432767,0.492,0.4412384239300102
triploid,condition_index,raw_delta_mm,resid,delta_auc_late_minus_early,0.25851617860496884,0.774,0.4412384239300102
triploid,condition_index,raw_rfu,none,inflection_time,0.31072334458667916,0.487,0.4412384239300102
triploid,condition_index,raw_rfu,resid,delta_auc_late_minus_early,0.25467429352002047,0.796,0.4412384239300102
triploid,cup,fc_corr,none,rate_last_first_ratio,0.29889865960898143,0.532,0.8609114996363775
triploid,cup,fc_corr,resid,rate_last_first_ratio,0.21266968325791855,0.924,0.8609114996363775
triploid,cup,fc_corr_mm,none,min_slope,0.27166396311790314,0.691,0.8609114996363775
triploid,cup,fc_corr_mm,resid,max_drop,-0.19491163664304617,0.965,0.8609114996363775
triploid,cup,raw_delta,none,auc_0_3h,-0.22786647314949202,0.883,0.8609114996363775
triploid,cup,raw_delta,resid,late_early_auc_ratio,0.16776231537607786,0.993,0.8626413679834619
triploid,cup,raw_delta_mm,none,min_slope,0.2543327926235806,0.777,0.8609114996363775
triploid,cup,raw_delta_mm,resid,max_drop,-0.20063177665841372,0.954,0.8609114996363775
triploid,cup,raw_rfu,none,n_negative_intervals,-0.31218446156627605,0.471,0.8609114996363775
triploid,cup,raw_rfu,resid,baseline_value,-0.33304874925296674,0.364,0.8609114996363775
triploid,dry_tissue_weight,fc_corr,none,sat_asymptote,0.41326530612244894,0.091,0.24485900073348751
triploid,dry_tissue_weight,fc_corr,resid,rate_h2,0.3783829932553573,0.167,0.24485900073348751
triploid,dry_tissue_weight,fc_corr_mm,none,rate_h2,0.33287799880474683,0.363,0.25081790276749405
triploid,dry_tissue_weight,fc_corr_mm,resid,rate_h2,0.41543584051908133,0.083,0.24485900073348751
triploid,dry_tissue_weight,raw_delta,none,auc_late,0.3011184154358405,0.515,0.2535352757288906
triploid,dry_tissue_weight,raw_delta,resid,value_2h,0.21053530265516945,0.923,0.3462281669145159
triploid,dry_tissue_weight,raw_delta_mm,none,rate_h2,0.3211815931016819,0.418,0.2535352757288906
triploid,dry_tissue_weight,raw_delta_mm,resid,rate_h2,0.4040809357124562,0.108,0.24485900073348751
triploid,dry_tissue_weight,raw_rfu,none,sat_asymptote,0.35173469387755096,0.258,0.24485900073348751
triploid,dry_tissue_weight,raw_rfu,resid,rate_h2,0.3749679842909588,0.174,0.24485900073348751
triploid,growth_abs,fc_corr,none,sat_asymptote,0.3973469387755102,0.114,0.5478550890185221
triploid,growth_abs,fc_corr,resid,sat_k,-0.336734693877551,0.326,0.5478550890185221
triploid,growth_abs,fc_corr_mm,none,sat_asymptote,0.3497959183673469,0.268,0.5478550890185221
triploid,growth_abs,fc_corr_mm,resid,sat_k,-0.336734693877551,0.326,0.5478550890185221
triploid,growth_abs,raw_delta,none,resilience_ratio,-0.2189357279662477,0.902,0.5478550890185221
triploid,growth_abs,raw_delta,resid,frac_auc_first_half,-0.17843421838982323,0.981,0.5478550890185221
triploid,growth_abs,raw_delta_mm,none,sat_k,-0.2947959183673469,0.545,0.5478550890185221
triploid,growth_abs,raw_delta_mm,resid,sat_k,-0.33795918367346933,0.324,0.5478550890185221
triploid,growth_abs,raw_rfu,none,sat_asymptote,0.336734693877551,0.326,0.5478550890185221
triploid,growth_abs,raw_rfu,resid,sat_k,-0.33795918367346933,0.324,0.5478550890185221
triploid,perf_composite,fc_corr,none,sat_asymptote,0.4047564527000752,0.106,0.1825774981883455
triploid,perf_composite,fc_corr,resid,delta_auc_late_minus_early,0.33618003978384287,0.366,0.1825774981883455
triploid,perf_composite,fc_corr_mm,none,sat_asymptote,0.4026640287231867,0.112,0.1825774981883455
triploid,perf_composite,fc_corr_mm,resid,rate_h2,0.3312267964693597,0.393,0.1825774981883455
triploid,perf_composite,raw_delta,none,late_early_auc_ratio,0.3109014187306185,0.473,0.1825774981883455
triploid,perf_composite,raw_delta,resid,frac_auc_first_half,-0.2643580117238373,0.722,0.21766899887218294
triploid,perf_composite,raw_delta_mm,none,delta_auc_late_minus_early,0.33720484874546003,0.362,0.1825774981883455
triploid,perf_composite,raw_delta_mm,resid,rate_h2,0.3233272273902271,0.43,0.1825774981883455
triploid,perf_composite,raw_rfu,none,sat_asymptote,0.34637272027177035,0.308,0.1825774981883455
triploid,perf_composite,raw_rfu,resid,rate_h2,0.331184096095959,0.393,0.1825774981883455
triploid,survived,fc_corr,none,delta_auc_late_minus_early,-0.13461538461538458,1,1
