stratum,phenotype,index_id,assoc,fw_perm_p,q_bh,scale,feature,adjustment,hours,kind
diploid,survived,fc_corr_mm|value_4h|resid,0.4741784037558685,0.348,0.18937788314942597,fc_corr_mm,value_4h,resid,4,value at t
diploid,survived,fc_corr_mm|auc_total|resid,0.46478873239436624,0.374,0.18937788314942597,fc_corr_mm,auc_total,resid,4,AUC to t
diploid,survived,fc_corr|value_4h|resid,0.4616588419405321,0.381,0.18937788314942597,fc_corr,value_4h,resid,4,value at t
diploid,survived,fc_corr_mm|value_3h|resid,0.45539906103286376,0.402,0.18937788314942597,fc_corr_mm,value_3h,resid,3,value at t
diploid,survived,fc_corr|auc_total|resid,0.4460093896713615,0.442,0.18937788314942597,fc_corr,auc_total,resid,4,AUC to t
diploid,survived,raw_delta_mm|value_4h|resid,0.4397496087636932,0.466,0.18937788314942597,raw_delta_mm,value_4h,resid,4,value at t
diploid,survived,fc_corr|value_3h|resid,0.43661971830985924,0.47,0.18937788314942597,fc_corr,value_3h,resid,3,value at t
diploid,survived,fc_corr_mm|auc_0_3h|resid,0.43661971830985924,0.47,0.18937788314942597,fc_corr_mm,auc_0_3h,resid,3,AUC to t
diploid,survived,raw_delta|value_4h|resid,0.42723004694835676,0.52,0.18937788314942597,raw_delta,value_4h,resid,4,value at t
diploid,survived,raw_rfu|value_4h|resid,0.4241001564945226,0.529,0.18937788314942597,raw_rfu,value_4h,resid,4,value at t
diploid,survived,raw_delta|value_4h|none,0.42097026604068866,0.537,0.18937788314942597,raw_delta,value_4h,none,4,value at t
diploid,survived,fc_corr|value_4h|none,0.42097026604068866,0.537,0.18937788314942597,fc_corr,value_4h,none,4,value at t
diploid,survived,raw_rfu|auc_0_2h|none,0.4178403755868545,0.553,0.18937788314942597,raw_rfu,auc_0_2h,none,2,AUC to t
diploid,survived,raw_delta|auc_0_2h|none,0.4178403755868545,0.553,0.18937788314942597,raw_delta,auc_0_2h,none,2,AUC to t
diploid,survived,raw_rfu|value_4h|none,0.41471048513302033,0.559,0.18937788314942597,raw_rfu,value_4h,none,4,value at t
diploid,survived,raw_delta|auc_total|none,0.41471048513302033,0.559,0.18937788314942597,raw_delta,auc_total,none,4,AUC to t
diploid,survived,raw_delta_mm|auc_total|resid,0.41471048513302033,0.559,0.18937788314942597,raw_delta_mm,auc_total,resid,4,AUC to t
diploid,survived,raw_rfu|auc_total|none,0.4115805946791862,0.575,0.18937788314942597,raw_rfu,auc_total,none,4,AUC to t
diploid,survived,raw_delta|auc_0_3h|none,0.408450704225352,0.583,0.18937788314942597,raw_delta,auc_0_3h,none,3,AUC to t
diploid,survived,fc_corr_mm|auc_0_2h|resid,0.4053208137715181,0.586,0.18937788314942597,fc_corr_mm,auc_0_2h,resid,2,AUC to t
diploid,survived,raw_delta_mm|value_3h|resid,0.4053208137715181,0.586,0.18937788314942597,raw_delta_mm,value_3h,resid,3,value at t
diploid,survived,raw_rfu|auc_0_3h|none,0.4021909233176839,0.6,0.18937788314942597,raw_rfu,auc_0_3h,none,3,AUC to t
diploid,survived,raw_delta|auc_total|resid,0.4021909233176839,0.6,0.18937788314942597,raw_delta,auc_total,resid,4,AUC to t
diploid,survived,fc_corr|auc_0_3h|resid,0.4021909233176839,0.6,0.18937788314942597,fc_corr,auc_0_3h,resid,3,AUC to t
diploid,survived,fc_corr_mm|value_2h|resid,0.4021909233176839,0.6,0.18937788314942597,fc_corr_mm,value_2h,resid,2,value at t
diploid,survived,raw_delta_mm|auc_0_3h|resid,0.4021909233176839,0.6,0.18937788314942597,raw_delta_mm,auc_0_3h,resid,3,AUC to t
diploid,survived,fc_corr|auc_total|none,0.39906103286384975,0.612,0.18937788314942597,fc_corr,auc_total,none,4,AUC to t
diploid,survived,raw_rfu|auc_total|resid,0.39906103286384975,0.612,0.18937788314942597,raw_rfu,auc_total,resid,4,AUC to t
diploid,survived,fc_corr|value_3h|none,0.3959311424100156,0.62,0.18937788314942597,fc_corr,value_3h,none,3,value at t
diploid,survived,fc_corr|auc_0_2h|none,0.39280125195618143,0.631,0.18937788314942597,fc_corr,auc_0_2h,none,2,AUC to t
