phenotype,stratum,family,model,k,n,cv_auc,cv_brier,cv_auc_sd,cv_brier_sd,cv_rmse,cv_spearman,cv_rmse_sd,cv_spearman_sd
condition_index,diploid,all,composite_k3,3,71,NA,NA,NA,NA,1.9675483366740736,0.15305164319248823,0.027655096764875035,0.049438478972660044
condition_index,diploid,all,composite_k5,5,71,NA,NA,NA,NA,1.957868204642748,0.16264922870556672,0.03712165975377407,0.0533050689825081
condition_index,diploid,all,composite_k8,8,71,NA,NA,NA,NA,1.9473928274926213,0.16881623071763915,0.03208670013142864,0.04704317565086309
condition_index,diploid,benchmark,ploidy_only,NA,71,NA,NA,NA,NA,1.9496644546487978,-0.12841417909019062,0.004876889925373958,0.044789629074412834
condition_index,diploid,benchmark,ploidy_size_plate,NA,71,NA,NA,NA,NA,2.0403322848576892,-0.05742454728370221,0.019801725326612403,0.0476155738597294
condition_index,diploid,fc_corr_mm_none,composite_k3,3,71,NA,NA,NA,NA,1.9385815491154255,0.18213950368879944,0.018150365727685306,0.03148251928389852
condition_index,diploid,fc_corr_mm_none,composite_k5,5,71,NA,NA,NA,NA,1.9301163583088286,0.19308182427900736,0.01744271326378535,0.0332124334059939
condition_index,diploid,fc_corr_mm_none,composite_k8,8,71,NA,NA,NA,NA,1.9205308661824902,0.20102951039570754,0.01627201932259522,0.016996929687096998
condition_index,diploid,short_assay_2h,composite_k3,3,71,NA,NA,NA,NA,1.9278585975015092,0.18100268276324613,0.023913885698115426,0.0275373022698185
condition_index,diploid,short_assay_2h,composite_k5,5,71,NA,NA,NA,NA,1.9282059902262323,0.18983568075117369,0.024849680341901187,0.023837958447794547
condition_index,diploid,short_assay_2h,composite_k8,8,71,NA,NA,NA,NA,1.9348160095204123,0.1652246814218645,0.017643930066490628,0.027540096120623556
condition_index,pooled_adj,all,composite_k3,3,123,NA,NA,NA,NA,2.35328735753123,0.12819719678286787,0.037093301368810644,0.030186741814198042
condition_index,pooled_adj,all,composite_k5,5,123,NA,NA,NA,NA,2.3656290292434865,0.1307641387118952,0.033058731149242473,0.030622231886020562
condition_index,pooled_adj,all,composite_k8,8,123,NA,NA,NA,NA,2.3732597820182253,0.11000825476261109,0.038610390412751314,0.0465954360949364
condition_index,pooled_adj,benchmark,ploidy_only,NA,123,NA,NA,NA,NA,2.2645497912921475,0.18984712774257587,0.002134889784574349,0.005998069934676045
condition_index,pooled_adj,benchmark,ploidy_size_plate,NA,123,NA,NA,NA,NA,2.3124585622904004,0.23383614296216998,0.01629998421092761,0.02413760992258116
condition_index,pooled_adj,fc_corr_mm_none,composite_k3,3,123,NA,NA,NA,NA,2.3121536318447706,0.1412306045323806,0.02124630037243537,0.03291132606799289
condition_index,pooled_adj,fc_corr_mm_none,composite_k5,5,123,NA,NA,NA,NA,2.3089748536879706,0.12555945363789967,0.013693889109314858,0.025175095410514183
condition_index,pooled_adj,fc_corr_mm_none,composite_k8,8,123,NA,NA,NA,NA,2.3222282801675123,0.10536366098721801,0.01965785101651616,0.02670623451200435
condition_index,pooled_adj,short_assay_2h,composite_k3,3,123,NA,NA,NA,NA,2.3025835238910397,0.186051385897254,0.014783900364244608,0.02654666849971292
condition_index,pooled_adj,short_assay_2h,composite_k5,5,123,NA,NA,NA,NA,2.2943358363364927,0.2086133288620036,0.014125815048610605,0.03588399017734908
