phenotype,stratum,family,model,k,n,cv_auc,cv_brier,cv_auc_sd,cv_brier_sd,cv_rmse,cv_spearman,cv_rmse_sd,cv_spearman_sd
condition_index,pooled_adj,short_assay_2h,composite_k8,8,123,NA,NA,NA,NA,2.295215862416366,0.2039558370200307,0.013199504333311657,0.03028904082029478
condition_index,triploid,all,composite_k3,3,52,NA,NA,NA,NA,2.7133798181875832,0.015657816101767266,0.07038909696608586,0.04535517119773128
condition_index,triploid,all,composite_k5,5,52,NA,NA,NA,NA,2.6894960031926436,0.029702040467856225,0.06384818660502643,0.06425628040569394
condition_index,triploid,all,composite_k8,8,52,NA,NA,NA,NA,2.679312004703072,0.0818150772645778,0.03234561873971373,0.052397919649333956
condition_index,triploid,benchmark,ploidy_only,NA,52,NA,NA,NA,NA,2.633857399782975,-0.14803212858418308,0.00821955854207145,0.05541042636201396
condition_index,triploid,benchmark,ploidy_size_plate,NA,52,NA,NA,NA,NA,2.738602960778317,0.0350977546316059,0.02553433288624443,0.028275929663288894
condition_index,triploid,fc_corr_mm_none,composite_k3,3,52,NA,NA,NA,NA,2.6325047108158657,0.2187996243490139,0.058095367355928115,0.015077199044914157
condition_index,triploid,fc_corr_mm_none,composite_k5,5,52,NA,NA,NA,NA,2.56431420422399,0.206958080764962,0.029175514814114577,0.018010303236619136
condition_index,triploid,fc_corr_mm_none,composite_k8,8,52,NA,NA,NA,NA,2.5345447272033956,0.22025100315888327,0.017047157322094678,0.0204502840916934
condition_index,triploid,short_assay_2h,composite_k3,3,52,NA,NA,NA,NA,2.6582575962612727,0.0885938700589089,0.0509325809592422,0.07891546874721563
condition_index,triploid,short_assay_2h,composite_k5,5,52,NA,NA,NA,NA,2.659109115633866,0.09678989157346538,0.042774892620344125,0.06083627644172114
condition_index,triploid,short_assay_2h,composite_k8,8,52,NA,NA,NA,NA,2.644483690616131,0.12071202936907707,0.062115820824172406,0.09992793386316318
growth_abs,diploid,all,composite_k3,3,71,NA,NA,NA,NA,6.0957695651561545,-0.2631522468142186,0.06553628294654765,0.07449272766261068
growth_abs,diploid,all,composite_k5,5,71,NA,NA,NA,NA,6.126154563626036,-0.2881287726358148,0.0939131218457354,0.0832635938413023
growth_abs,diploid,all,composite_k8,8,71,NA,NA,NA,NA,6.1351273312758705,-0.28648893360160965,0.1646299926360647,0.06606015377194877
growth_abs,diploid,benchmark,ploidy_only,NA,71,NA,NA,NA,NA,5.678128972283736,-0.13093942673460712,0.005357862688133412,0.02473894902604121
growth_abs,diploid,benchmark,ploidy_size_plate,NA,71,NA,NA,NA,NA,5.908094528694788,-0.14238430583501005,0.07189059860701041,0.04842545433687341
growth_abs,diploid,fc_corr_mm_none,composite_k3,3,71,NA,NA,NA,NA,5.978129138266425,-0.2393594902749832,0.084806728531001,0.08213307240095567
growth_abs,diploid,fc_corr_mm_none,composite_k5,5,71,NA,NA,NA,NA,5.926990361057319,-0.16057344064386314,0.0676520748402294,0.06602598208778455
growth_abs,diploid,fc_corr_mm_none,composite_k8,8,71,NA,NA,NA,NA,5.951242343987351,-0.14054661301140173,0.09852971103225845,0.07914284110654371
growth_abs,diploid,short_assay_2h,composite_k3,3,71,NA,NA,NA,NA,5.791055605996837,0.04414151576123407,0.04333065446161976,0.021269865531906573
growth_abs,diploid,short_assay_2h,composite_k5,5,71,NA,NA,NA,NA,5.814421475313848,0.003108651911468812,0.08650138298297816,0.08669987525203773
growth_abs,diploid,short_assay_2h,composite_k8,8,71,NA,NA,NA,NA,5.797790731902332,0.014932930918846411,0.041293344457533,0.04688323347292579
growth_abs,pooled_adj,all,composite_k3,3,123,NA,NA,NA,NA,6.345676170319569,0.11303013154451552,0.06227376371642634,0.02624918556003161
growth_abs,pooled_adj,all,composite_k5,5,123,NA,NA,NA,NA,6.372425032327226,0.10755650571479863,0.060280795285010826,0.03048391316151854
growth_abs,pooled_adj,all,composite_k8,8,123,NA,NA,NA,NA,6.329486622550776,0.12566284077166243,0.03288032749674416,0.02397545714968589
growth_abs,pooled_adj,benchmark,ploidy_only,NA,123,NA,NA,NA,NA,6.175297786307434,0.13760379668530498,0.010903310134559615,0.010900307513059005
growth_abs,pooled_adj,benchmark,ploidy_size_plate,NA,123,NA,NA,NA,NA,6.331472606349559,0.13665394592817082,0.038464069489479565,0.023066329775832204
growth_abs,pooled_adj,fc_corr_mm_none,composite_k3,3,123,NA,NA,NA,NA,6.305054412801137,0.14424866222668759,0.03846561535879418,0.023414996331405348
growth_abs,pooled_adj,fc_corr_mm_none,composite_k5,5,123,NA,NA,NA,NA,6.264749789396279,0.1663646901962188,0.03278288116323725,0.022521853486766375
growth_abs,pooled_adj,fc_corr_mm_none,composite_k8,8,123,NA,NA,NA,NA,6.256388324768804,0.17064427558720568,0.043544569534755044,0.019869650459302893
growth_abs,pooled_adj,short_assay_2h,composite_k3,3,123,NA,NA,NA,NA,6.255444088180816,0.17725132084499062,0.033317734013464724,0.030538780592331338
growth_abs,pooled_adj,short_assay_2h,composite_k5,5,123,NA,NA,NA,NA,6.278881051830314,0.17306589149184037,0.04863793668946778,0.0268896641621594
growth_abs,pooled_adj,short_assay_2h,composite_k8,8,123,NA,NA,NA,NA,6.258316552913435,0.17389233644038615,0.03409055781821464,0.020303910161722404
growth_abs,triploid,all,composite_k3,3,52,NA,NA,NA,NA,7.292397760285373,0.017630147784858274,0.819275496238821,0.08508145710482289
growth_abs,triploid,all,composite_k5,5,52,NA,NA,NA,NA,7.052476534181222,0.04397604892945203,0.27013967572326764,0.08869810361230834
growth_abs,triploid,all,composite_k8,8,52,NA,NA,NA,NA,7.035723878663482,0.13471356612311106,0.2724274008492512,0.06665758003310474
growth_abs,triploid,benchmark,ploidy_only,NA,52,NA,NA,NA,NA,6.794414398811425,-0.19329621052931606,0.014183300388600955,0.037580104017951935
growth_abs,triploid,benchmark,ploidy_size_plate,NA,52,NA,NA,NA,NA,6.902941317174996,0.08896098352258174,0.12857703833200776,0.05560877791470743
growth_abs,triploid,fc_corr_mm_none,composite_k3,3,52,NA,NA,NA,NA,7.029330585877741,0.018825140881534128,0.0900685364953057,0.055987036397928895
growth_abs,triploid,fc_corr_mm_none,composite_k5,5,52,NA,NA,NA,NA,6.890524978196591,0.08266029198326645,0.10282293337240392,0.053117064752539064
growth_abs,triploid,fc_corr_mm_none,composite_k8,8,52,NA,NA,NA,NA,6.827495171627151,0.11337829761803124,0.05960171043581738,0.03741796940828469
growth_abs,triploid,short_assay_2h,composite_k3,3,52,NA,NA,NA,NA,6.855794292211523,0.019627764022880554,0.11252747665577283,0.06993857960381046
growth_abs,triploid,short_assay_2h,composite_k5,5,52,NA,NA,NA,NA,6.855046641373924,0.042841287458379576,0.05573202082376818,0.031118714198632127
growth_abs,triploid,short_assay_2h,composite_k8,8,52,NA,NA,NA,NA,6.835396836666743,0.07212498932809698,0.09335700566297168,0.07637157044939494
survived,diploid,all,composite_k3,3,80,0.6151799687010955,0.10351816857777792,0.03910241121657067,0.003361893984921067,NA,NA,NA,NA
survived,diploid,all,composite_k5,5,80,0.6406885758998435,0.10211426151668736,0.03209897265903903,0.001878112699214012,NA,NA,NA,NA
survived,diploid,all,composite_k8,8,80,0.6724569640062598,0.10419351132897187,0.019053382198247544,0.004660955316799908,NA,NA,NA,NA
survived,diploid,benchmark,ploidy_only,NA,80,0.44428794992175275,0.10011127780432397,3.2991942203111115e-4,3.2852535366130276e-5,NA,NA,NA,NA
survived,diploid,benchmark,ploidy_size_plate,NA,80,0.4250391236306729,0.11283793120267387,0.013364791052602921,0.0026002775553998483,NA,NA,NA,NA
survived,diploid,fc_corr_mm_none,composite_k3,3,80,0.64037558685446,0.10109504750328768,0.021314939542237107,0.003343603254430029,NA,NA,NA,NA
survived,diploid,fc_corr_mm_none,composite_k5,5,80,0.6566510172143976,0.09964243737504234,0.006002357793904034,0.0015830230924079858,NA,NA,NA,NA
survived,diploid,fc_corr_mm_none,composite_k8,8,80,0.6458528951486698,0.09982766105244463,0.008183398383420644,7.377798857270587e-4,NA,NA,NA,NA
survived,diploid,short_assay_2h,composite_k3,3,80,0.6084507042253521,0.10256999964932413,0.014639651583650312,0.0015167442497826139,NA,NA,NA,NA
survived,diploid,short_assay_2h,composite_k5,5,80,0.5993740219092332,0.10222251993078166,0.015386417531301634,0.002771771334176236,NA,NA,NA,NA
survived,diploid,short_assay_2h,composite_k8,8,80,0.5805946791862285,0.10385537851575938,0.016078283784478266,0.002235846787376108,NA,NA,NA,NA
survived,pooled_adj,all,composite_k3,3,156,0.6027346637102735,0.16499906613906434,0.020301755914958756,0.00243245528510702,NA,NA,NA,NA
survived,pooled_adj,all,composite_k5,5,156,0.6058635131805864,0.16387334646882884,0.016926126053245765,0.0028527412704022932,NA,NA,NA,NA
survived,pooled_adj,all,composite_k8,8,156,0.6171840354767184,0.16224111766576238,0.01580684355909565,0.0029789803275587492,NA,NA,NA,NA
survived,pooled_adj,benchmark,ploidy_only,NA,156,0.6260778516876078,0.15686156843212148,0.002451483687981349,6.152166156389562e-5,NA,NA,NA,NA
survived,pooled_adj,benchmark,ploidy_size_plate,NA,156,0.6190933727519093,0.16417071295613883,0.01243244592119508,0.002008378444565049,NA,NA,NA,NA
survived,pooled_adj,fc_corr_mm_none,composite_k3,3,156,0.6655580192165558,0.15843475041130697,0.010017710018422898,0.001543457050456732,NA,NA,NA,NA
survived,pooled_adj,fc_corr_mm_none,composite_k5,5,156,0.6578467602857847,0.1600306547901449,0.007123157429849769,0.001455123677315132,NA,NA,NA,NA
survived,pooled_adj,fc_corr_mm_none,composite_k8,8,156,0.6480413895048042,0.16098169160668724,0.01863869862676537,0.001992990090100507,NA,NA,NA,NA
survived,pooled_adj,short_assay_2h,composite_k3,3,156,0.6629465385562947,0.15966070925457423,0.0031857633746387583,8.095113769451937e-4,NA,NA,NA,NA
survived,pooled_adj,short_assay_2h,composite_k5,5,156,0.6568120226656812,0.16067204024944612,0.009666011012900681,0.0014127249020435503,NA,NA,NA,NA
survived,pooled_adj,short_assay_2h,composite_k8,8,156,0.659669869425967,0.1602541374847964,0.00895258234496424,0.0013522716503848104,NA,NA,NA,NA
survived,triploid,all,composite_k3,3,76,0.37443910256410257,0.25867617783057467,0.06719954894237777,0.015583718594020475,NA,NA,NA,NA
survived,triploid,all,composite_k5,5,76,0.3318108974358974,0.2665498882848491,0.03529170161292558,0.012818949515733338,NA,NA,NA,NA
survived,triploid,all,composite_k8,8,76,0.31506410256410255,0.26216246142685157,0.051615944718097,0.010902911488132095,NA,NA,NA,NA
survived,triploid,benchmark,ploidy_only,NA,76,0.4426282051282051,0.21659051471096086,0.0035474268623683614,7.472984148560724e-5,NA,NA,NA,NA
survived,triploid,benchmark,ploidy_size_plate,NA,76,0.39615384615384613,0.23663266714941567,0.03518186888185884,0.006792145702017532,NA,NA,NA,NA
survived,triploid,fc_corr_mm_none,composite_k3,3,76,0.3314903846153846,0.2409721930113649,0.03248252004539558,0.006848517177535636,NA,NA,NA,NA
survived,triploid,fc_corr_mm_none,composite_k5,5,76,0.3857371794871795,0.23441637740747157,0.047882441397348374,0.003441277124591867,NA,NA,NA,NA
survived,triploid,fc_corr_mm_none,composite_k8,8,76,0.3457532051282051,0.2354666634272636,0.047496571388729834,0.0022664713961475075,NA,NA,NA,NA
survived,triploid,short_assay_2h,composite_k3,3,76,0.3057692307692308,0.24012450194236765,0.046624854570290954,0.00506099859236749,NA,NA,NA,NA
survived,triploid,short_assay_2h,composite_k5,5,76,0.2877403846153846,0.23813051757853768,0.050586577372895014,0.0029391662532075448,NA,NA,NA,NA
survived,triploid,short_assay_2h,composite_k8,8,76,0.29791666666666666,0.23604496822887608,0.052753333555173844,0.004641795096071377,NA,NA,NA,NA
yield_dtw,diploid,all,composite_k3,3,80,NA,NA,NA,NA,1.2109593710558368,0.09739444977517116,0.013591745883704653,0.04760251895083176
yield_dtw,diploid,all,composite_k5,5,80,NA,NA,NA,NA,1.2240495620606444,0.010592370672698892,0.013376532676125158,0.03668595743883171
yield_dtw,diploid,all,composite_k8,8,80,NA,NA,NA,NA,1.2189514954469414,0.038930568859287085,0.013497467177191925,0.04144521078561654
yield_dtw,diploid,benchmark,ploidy_only,NA,80,NA,NA,NA,NA,1.1990324546948687,-0.041547058215772745,0.0027321679242193254,0.019320296376364194
yield_dtw,diploid,benchmark,ploidy_size_plate,NA,80,NA,NA,NA,NA,1.236776520091064,0.035416590060105835,0.016134908642277693,0.042519259795654775
yield_dtw,diploid,fc_corr_mm_none,composite_k3,3,80,NA,NA,NA,NA,1.228181296273244,-0.06064428364875388,0.015249483033124466,0.09972397958644515
yield_dtw,diploid,fc_corr_mm_none,composite_k5,5,80,NA,NA,NA,NA,1.2326378964118867,-0.0489282842412033,0.02015103838404709,0.07834221554837367
yield_dtw,diploid,fc_corr_mm_none,composite_k8,8,80,NA,NA,NA,NA,1.2320945817421387,-0.03534973532327228,0.015043863976456387,0.07028973395734321
yield_dtw,diploid,short_assay_2h,composite_k3,3,80,NA,NA,NA,NA,1.2145102994696788,0.09917255119691976,0.012409586966815538,0.06488427441195405
yield_dtw,diploid,short_assay_2h,composite_k5,5,80,NA,NA,NA,NA,1.2180887172043686,0.05433765347412184,0.012215245491413272,0.06718540635435802
yield_dtw,diploid,short_assay_2h,composite_k8,8,80,NA,NA,NA,NA,1.2232905831586354,0.05165877244030009,0.010942608019444182,0.04958089143954948
yield_dtw,pooled_adj,all,composite_k3,3,156,NA,NA,NA,NA,1.6992239634261184,-0.12324157879098188,0.010344364468230413,0.033363158114313896
yield_dtw,pooled_adj,all,composite_k5,5,156,NA,NA,NA,NA,1.6997961703361362,-0.11951832540635308,0.013168408614768921,0.029455406732850388
yield_dtw,pooled_adj,all,composite_k8,8,156,NA,NA,NA,NA,1.689826620634433,-0.10360770620601452,0.01013716688669423,0.033129089295399664
yield_dtw,pooled_adj,benchmark,ploidy_only,NA,156,NA,NA,NA,NA,1.659087483348015,-0.1152261485183171,0.0012097769876738295,0.01070557140995868
yield_dtw,pooled_adj,benchmark,ploidy_size_plate,NA,156,NA,NA,NA,NA,1.6886780339258878,-0.07578055053455081,0.010670301670653196,0.02364568161866312
yield_dtw,pooled_adj,fc_corr_mm_none,composite_k3,3,156,NA,NA,NA,NA,1.6782305155138895,-0.10292143987463509,0.008249402868118042,0.03362194774759773
yield_dtw,pooled_adj,fc_corr_mm_none,composite_k5,5,156,NA,NA,NA,NA,1.6820485703342893,-0.11337767516773557,0.007845308003914853,0.02217824049323184
yield_dtw,pooled_adj,fc_corr_mm_none,composite_k8,8,156,NA,NA,NA,NA,1.677390063898393,-0.11467604980713156,0.005384190285757922,0.02520994159874775
yield_dtw,pooled_adj,short_assay_2h,composite_k3,3,156,NA,NA,NA,NA,1.6720921510040685,-0.09094831679343401,0.0067801871057887875,0.02550669042962574
yield_dtw,pooled_adj,short_assay_2h,composite_k5,5,156,NA,NA,NA,NA,1.6734371872907343,-0.08052003085656319,0.00821281861182396,0.025422027253974803
yield_dtw,pooled_adj,short_assay_2h,composite_k8,8,156,NA,NA,NA,NA,1.6676590898116455,-0.06787898168273741,0.00575512406467581,0.021024899248630755
yield_dtw,triploid,all,composite_k3,3,76,NA,NA,NA,NA,2.1338505850734997,-0.08760628664290689,0.03460533527655721,0.0908241827328573
yield_dtw,triploid,all,composite_k5,5,76,NA,NA,NA,NA,2.093235573917671,-0.03398278661596306,0.029836203536457613,0.09558511541613078
yield_dtw,triploid,all,composite_k8,8,76,NA,NA,NA,NA,2.08590901974262,-0.03915554939252249,0.02809391079970012,0.08406871213102364
yield_dtw,triploid,benchmark,ploidy_only,NA,76,NA,NA,NA,NA,2.0327148957009538,-0.08465938429033687,0.0017389085276026872,0.039063530223397994
yield_dtw,triploid,benchmark,ploidy_size_plate,NA,76,NA,NA,NA,NA,2.1152604239914194,-0.16478768765605142,0.025761186186582827,0.07724007507773248
yield_dtw,triploid,fc_corr_mm_none,composite_k3,3,76,NA,NA,NA,NA,2.095747747260215,-0.09063795103551328,0.02094584093047541,0.04471297134471573
yield_dtw,triploid,fc_corr_mm_none,composite_k5,5,76,NA,NA,NA,NA,2.1101669861610644,-0.0879681660224061,0.02927193068931881,0.07915074918102717
yield_dtw,triploid,fc_corr_mm_none,composite_k8,8,76,NA,NA,NA,NA,2.094916041389326,-0.12633972752192363,0.024115076707528313,0.09334700747717294
yield_dtw,triploid,short_assay_2h,composite_k3,3,76,NA,NA,NA,NA,2.084333091972233,-0.13904273685848198,0.02025843086355052,0.08979883441076647
yield_dtw,triploid,short_assay_2h,composite_k5,5,76,NA,NA,NA,NA,2.0858071413957324,-0.133935140868266,0.03209076622623413,0.09130237584158446
yield_dtw,triploid,short_assay_2h,composite_k8,8,76,NA,NA,NA,NA,2.0772339962001287,-0.13579926755275604,0.02557263256976537,0.09918089615993947
