index_id,scale,feature,adjustment,absorbed_duplicates,completeness
raw_delta|frac_auc_first_half|none,raw_delta,frac_auc_first_half,none,raw_delta_mm|frac_auc_first_half,1
fc_corr|final_value|none,fc_corr,final_value,none,fc_corr|final_delta,1
fc_corr|peak_value|none,fc_corr,peak_value,none,fc_corr|metabolic_scope,1
fc_corr|auc_total|none,fc_corr,auc_total,none,NA,1
fc_corr|auc_early|none,fc_corr,auc_early,none,NA,1
fc_corr|auc_late|none,fc_corr,auc_late,none,NA,1
fc_corr|delta_auc_late_minus_early|none,fc_corr,delta_auc_late_minus_early,none,NA,1
fc_corr|late_early_auc_ratio|none,fc_corr,late_early_auc_ratio,none,fc_corr_mm|late_early_auc_ratio,1
fc_corr|initial_slope|none,fc_corr,initial_slope,none,fc_corr|rate_h1; fc_corr|value_1h,1
fc_corr|vmax|none,fc_corr,vmax,none,NA,1
fc_corr|min_slope|none,fc_corr,min_slope,none,NA,1
fc_corr|depression_abs|none,fc_corr,depression_abs,none,NA,1
fc_corr|metabolic_depression_index|none,fc_corr,metabolic_depression_index,none,fc_corr_mm|metabolic_depression_index,1
fc_corr|resilience_ratio|none,fc_corr,resilience_ratio,none,fc_corr_mm|resilience_ratio,1
fc_corr|stability_cv|none,fc_corr,stability_cv,none,fc_corr_mm|stability_cv,1
fc_corr|rate_h2|none,fc_corr,rate_h2,none,NA,1
fc_corr|rate_h3|none,fc_corr,rate_h3,none,NA,1
fc_corr|rate_h4|none,fc_corr,rate_h4,none,fc_corr|rate_last,1
fc_corr|rate_last_first_ratio|none,fc_corr,rate_last_first_ratio,none,fc_corr_mm|rate_last_first_ratio,1
fc_corr|rate_cv|none,fc_corr,rate_cv,none,fc_corr_mm|rate_cv,1
fc_corr|max_drop|none,fc_corr,max_drop,none,NA,1
fc_corr|lin_slope|none,fc_corr,lin_slope,none,NA,1
fc_corr|lin_r2|none,fc_corr,lin_r2,none,fc_corr_mm|lin_r2,1
fc_corr|quad_coef|none,fc_corr,quad_coef,none,NA,1
fc_corr|mean_rate|none,fc_corr,mean_rate,none,NA,1
fc_corr|sat_asymptote|none,fc_corr,sat_asymptote,none,NA,0.975609756097561
fc_corr|sat_k|none,fc_corr,sat_k,none,NA,0.975609756097561
fc_corr|sat_r2|none,fc_corr,sat_r2,none,fc_corr_mm|sat_r2,0.975609756097561
fc_corr|t_half|none,fc_corr,t_half,none,fc_corr_mm|t_half,1
fc_corr|value_2h|none,fc_corr,value_2h,none,NA,1
fc_corr|value_3h|none,fc_corr,value_3h,none,NA,1
fc_corr|value_4h|none,fc_corr,value_4h,none,NA,1
fc_corr|auc_0_1h|none,fc_corr,auc_0_1h,none,NA,1
fc_corr|auc_0_2h|none,fc_corr,auc_0_2h,none,NA,1
fc_corr|auc_0_3h|none,fc_corr,auc_0_3h,none,NA,1
fc_corr|frac_auc_first_half|none,fc_corr,frac_auc_first_half,none,fc_corr_mm|frac_auc_first_half,1
fc_corr_mm|final_value|none,fc_corr_mm,final_value,none,fc_corr_mm|final_delta,1
fc_corr_mm|peak_value|none,fc_corr_mm,peak_value,none,fc_corr_mm|metabolic_scope,1
fc_corr_mm|auc_total|none,fc_corr_mm,auc_total,none,NA,1
fc_corr_mm|auc_early|none,fc_corr_mm,auc_early,none,NA,1
fc_corr_mm|auc_late|none,fc_corr_mm,auc_late,none,NA,1
fc_corr_mm|delta_auc_late_minus_early|none,fc_corr_mm,delta_auc_late_minus_early,none,NA,1
fc_corr_mm|initial_slope|none,fc_corr_mm,initial_slope,none,fc_corr_mm|rate_h1; fc_corr_mm|value_1h,1
fc_corr_mm|vmax|none,fc_corr_mm,vmax,none,NA,1
fc_corr_mm|min_slope|none,fc_corr_mm,min_slope,none,NA,1
fc_corr_mm|depression_abs|none,fc_corr_mm,depression_abs,none,NA,1
