stratum,index_id,scale,feature,adjustment,auc,n,cv_auc,cv_brier,cv_auc_sd,cv_brier_sd,phenotype,spearman_rho,cv_rmse,cv_spearman,cv_rmse_sd,cv_spearman_sd
diploid,fc_corr_mm|final_value|resid,fc_corr_mm,final_value,resid,0.7417840375586855,80,0.7190923317683882,0.0973724754562742,0.007085590874911907,0.0014047179661634025,survived,NA,NA,NA,NA,NA
diploid,fc_corr_mm|mean_rate|resid,fc_corr_mm,mean_rate,resid,0.7417840375586855,80,0.7179968701095462,0.10035420339294282,0.006163403437763978,0.006075286359212084,survived,NA,NA,NA,NA,NA
diploid,fc_corr_mm|peak_value|resid,fc_corr_mm,peak_value,resid,0.7386541471048513,80,0.7215962441314554,0.09744174086935954,0.007611420539163696,0.0010080277657405212,survived,NA,NA,NA,NA,NA
diploid,fc_corr_mm|value_4h|resid,fc_corr_mm,value_4h,resid,0.7370892018779343,80,0.7194053208137715,0.09747359464000283,0.008282554646802623,0.0015468863252243623,survived,NA,NA,NA,NA,NA
diploid,fc_corr|peak_value|resid,fc_corr,peak_value,resid,0.7355242566510172,80,0.7076682316118936,0.10182761244846142,0.011423981058063429,0.004922073224973425,survived,NA,NA,NA,NA,NA
diploid,fc_corr|final_value|resid,fc_corr,final_value,resid,0.7339593114241002,80,0.7143974960876369,0.10082652400294824,0.009132572456970054,0.0047931611558458785,survived,NA,NA,NA,NA,NA
pooled_adj,raw_rfu|n_negative_intervals|none,raw_rfu,n_negative_intervals,none,0.6283567381128357,156,0.6436683912293668,0.1568033833905635,0.005874466930675165,5.093317201592834e-4,survived,NA,NA,NA,NA,NA
pooled_adj,raw_rfu|depression_abs|none,raw_rfu,depression_abs,none,0.6144370534614437,156,0.5941611234294161,0.1597886769473462,0.018606685419099035,0.001174966810723688,survived,NA,NA,NA,NA,NA
pooled_adj,raw_delta_mm|depression_abs|none,raw_delta_mm,depression_abs,none,0.6134515890613451,156,0.6075388026607539,0.15927345099173632,0.013977642919803844,9.641399281566411e-4,survived,NA,NA,NA,NA,NA
pooled_adj,raw_rfu|metabolic_depression_index|none,raw_rfu,metabolic_depression_index,none,0.6132052229613205,156,0.617750677506775,0.15917643838647305,0.01874726143646676,0.0013017445550206998,survived,NA,NA,NA,NA,NA
pooled_adj,raw_rfu|resilience_ratio|none,raw_rfu,resilience_ratio,none,0.3867947770386795,156,0.6086720867208673,0.15982213013067037,0.018880282323509565,0.0014419508352397753,survived,NA,NA,NA,NA,NA
pooled_adj,raw_delta|resilience_ratio|none,raw_delta,resilience_ratio,none,0.3867947770386795,156,0.6204114313870411,0.15907977534118412,0.014956950884196216,9.217822228269893e-4,survived,NA,NA,NA,NA,NA
triploid,raw_rfu|time_to_vmax|resid,raw_rfu,time_to_vmax,resid,0.6306089743589743,76,0.5993589743589743,0.21759324476763797,0.02027452960934651,0.0018833310748731424,survived,NA,NA,NA,NA,NA
triploid,raw_rfu|inflection_time|none,raw_rfu,inflection_time,none,0.37940705128205127,76,0.5210737179487179,0.2161468971516175,0.02726139019615442,0.0021209755472979667,survived,NA,NA,NA,NA,NA
triploid,raw_rfu|n_negative_intervals|resid,raw_rfu,n_negative_intervals,resid,0.5833333333333334,76,0.4912660256410256,0.21973475947335802,0.03999896770825356,0.00398241402844697,survived,NA,NA,NA,NA,NA
triploid,raw_rfu|time_to_min_slope|none,raw_rfu,time_to_min_slope,none,0.421875,76,0.30088141025641024,0.2235307646521323,0.03131556330010889,0.0021186880734503084,survived,NA,NA,NA,NA,NA
triploid,raw_rfu|inflection_time|resid,raw_rfu,inflection_time,resid,0.4270833333333333,76,0.5142628205128206,0.21898837907784502,0.02039661148750942,0.002137189345149695,survived,NA,NA,NA,NA,NA
triploid,raw_rfu|n_negative_intervals|none,raw_rfu,n_negative_intervals,none,0.5701121794871795,76,0.48954326923076924,0.21795070219841123,0.016411020201381455,0.0017621921106409056,survived,NA,NA,NA,NA,NA
diploid,raw_rfu|delta_auc_late_minus_early|none,raw_rfu,delta_auc_late_minus_early,none,NA,71,NA,NA,NA,NA,condition_index,-0.34996646545942317,1.872051782390097,0.3102112676056338,0.012193413693138443,0.011801831912599713
diploid,fc_corr|delta_auc_late_minus_early|none,fc_corr,delta_auc_late_minus_early,none,NA,71,NA,NA,NA,NA,condition_index,-0.34376257545271627,1.8701136850947715,0.3087525150905432,0.009967841165943176,0.015619322021569028
diploid,raw_delta_mm|sat_asymptote|resid,raw_delta_mm,sat_asymptote,resid,NA,70,NA,NA,NA,NA,condition_index,-0.34234975067798096,1.6807420015815653,0.30469425247134985,0.007323565885899971,0.009326777668253652
diploid,fc_corr_mm|sat_asymptote|resid,fc_corr_mm,sat_asymptote,resid,NA,70,NA,NA,NA,NA,growth_abs,-0.15062549208293236,5.571846411594478,0.1252138920479398,0.03692234402322894,0.018626366520039225
diploid,raw_rfu|auc_0_1h|resid,raw_rfu,auc_0_1h,resid,NA,71,NA,NA,NA,NA,growth_abs,0.1494299128101945,5.7610602576017325,0.07299463447350771,0.041098742175280714,0.040873030929087874
diploid,fc_corr|sat_asymptote|resid,fc_corr,sat_asymptote,resid,NA,70,NA,NA,NA,NA,growth_abs,-0.1492607820838072,5.58366114531539,0.1296859417373808,0.043614793653600194,0.013421139341816348
diploid,fc_corr|initial_slope|resid,fc_corr,initial_slope,resid,NA,80,NA,NA,NA,NA,yield_dtw,0.22676657577893966,1.197730301780304,0.18788995986516738,0.007485552919640504,0.019765696274040484
diploid,fc_corr|auc_0_1h|resid,fc_corr,auc_0_1h,resid,NA,80,NA,NA,NA,NA,yield_dtw,0.22676657577893966,1.1963140254533646,0.18975250937554783,0.007840152348028626,0.018794058546105708
diploid,fc_corr_mm|initial_slope|resid,fc_corr_mm,initial_slope,resid,NA,80,NA,NA,NA,NA,yield_dtw,0.2125276897235123,1.1912920799869933,0.19729184706618103,0.007501056375612967,0.0175850023146241
pooled_adj,fc_corr|sat_r2|resid,fc_corr,sat_r2,resid,NA,119,NA,NA,NA,NA,condition_index,0.1604828372026777,2.0560108154387695,0.2855376726961972,0.010427748911308925,0.00967956654894659
pooled_adj,raw_rfu|sat_r2|resid,raw_rfu,sat_r2,resid,NA,119,NA,NA,NA,NA,condition_index,0.15954280017091588,2.057396184483053,0.28329012961116656,0.01312827182455027,0.013838507805779473
pooled_adj,fc_corr|sat_r2|none,fc_corr,sat_r2,none,NA,119,NA,NA,NA,NA,condition_index,0.13845606039025782,2.0613319564021855,0.27194274319897455,0.01081471770878869,0.011493337472419953
pooled_adj,fc_corr|rate_last_first_ratio|resid,fc_corr,rate_last_first_ratio,resid,NA,123,NA,NA,NA,NA,growth_abs,-0.11556667655518438,6.247924827314471,0.10030681325356006,0.03211828305389056,0.0276688698283265
pooled_adj,raw_rfu|rate_last_first_ratio|resid,raw_rfu,rate_last_first_ratio,resid,NA,123,NA,NA,NA,NA,growth_abs,-0.11428976796378222,6.273399671856765,0.06667440551917825,0.03854242661946164,0.034375402276741775
pooled_adj,raw_rfu|rate_last_first_ratio|none,raw_rfu,rate_last_first_ratio,none,NA,123,NA,NA,NA,NA,growth_abs,-0.11213579084495234,6.240434870624016,0.08370439518460787,0.02628062268304894,0.018176138416440866
pooled_adj,raw_rfu|vmax|none,raw_rfu,vmax,none,NA,156,NA,NA,NA,NA,yield_dtw,0.14263695455840203,1.6557498009247158,0.021875611754001434,0.005131445898363257,0.013687282504066008
pooled_adj,raw_rfu|n_negative_intervals|none,raw_rfu,n_negative_intervals,none,NA,156,NA,NA,NA,NA,yield_dtw,0.1396148477096623,1.6548774749573398,0.006003283093842516,0.004767260457470365,0.020859958605733562
pooled_adj,raw_rfu|n_negative_intervals|resid,raw_rfu,n_negative_intervals,resid,NA,156,NA,NA,NA,NA,yield_dtw,0.13599243986145998,1.6532556941678895,0.02152148070631882,0.0028168523518262234,0.017301401697062128
triploid,fc_corr_mm|delta_auc_late_minus_early|none,fc_corr_mm,delta_auc_late_minus_early,none,NA,52,NA,NA,NA,NA,condition_index,0.3245966020660804,2.484545985843233,0.2843165713309997,0.024055593514337094,0.013665773764775645
triploid,raw_rfu|inflection_time|none,raw_rfu,inflection_time,none,NA,52,NA,NA,NA,NA,condition_index,0.31072334458667916,2.5354925711446885,0.1249182647228055,0.05862404883297568,0.031665516934991735
triploid,raw_delta_mm|delta_auc_late_minus_early|none,raw_delta_mm,delta_auc_late_minus_early,none,NA,52,NA,NA,NA,NA,condition_index,0.3099974387432767,2.505608208773589,0.2543413301459916,0.02825641235608375,0.023113079115183465
triploid,fc_corr|sat_asymptote|none,fc_corr,sat_asymptote,none,NA,49,NA,NA,NA,NA,growth_abs,0.3973469387755102,6.896193003701119,0.28557142857142853,0.9825984205949263,0.045301581966920655
triploid,fc_corr_mm|sat_asymptote|none,fc_corr_mm,sat_asymptote,none,NA,49,NA,NA,NA,NA,growth_abs,0.3497959183673469,6.878048533375934,0.16148979591836732,0.20597254776196564,0.05525014110806843
triploid,raw_rfu|sat_k|resid,raw_rfu,sat_k,resid,NA,49,NA,NA,NA,NA,growth_abs,-0.33795918367346933,6.48170861856282,0.2772959183673469,0.04024360884490557,0.017708206241224267
triploid,raw_rfu|time_to_vmax|resid,raw_rfu,time_to_vmax,resid,NA,76,NA,NA,NA,NA,yield_dtw,0.23137673758234276,2.0466074511442014,0.13401709576721155,0.011649400368680642,0.03560433407326172
triploid,fc_corr|depression_abs|none,fc_corr,depression_abs,none,NA,76,NA,NA,NA,NA,yield_dtw,0.21558359312802267,2.074854975986514,0.06905886343253917,0.02349324389403398,0.04624022806694281
triploid,raw_rfu|depression_abs|none,raw_rfu,depression_abs,none,NA,76,NA,NA,NA,NA,yield_dtw,0.21483678649470017,2.061731323350454,0.07975458853670554,0.016949035604742882,0.032610220097329085
