index_id,selection_freq,phenotype,stratum,family,k,scale,feature,adjustment
fc_corr|lin_slope|none,0.01,condition_index,diploid,all,5,fc_corr,lin_slope,none
raw_delta_mm|rate_h2|resid,0.01,condition_index,diploid,all,5,raw_delta_mm,rate_h2,resid
raw_delta|frac_auc_first_half|none,0.01,condition_index,diploid,all,5,raw_delta,frac_auc_first_half,none
raw_delta|late_early_auc_ratio|none,0.01,condition_index,diploid,all,5,raw_delta,late_early_auc_ratio,none
raw_rfu|inflection_time|none,0.01,condition_index,diploid,all,5,raw_rfu,inflection_time,none
raw_rfu|peak_value|none,0.01,condition_index,diploid,all,5,raw_rfu,peak_value,none
raw_rfu|delta_auc_late_minus_early|none,0.91,condition_index,diploid,all,8,raw_rfu,delta_auc_late_minus_early,none
fc_corr|delta_auc_late_minus_early|none,0.84,condition_index,diploid,all,8,fc_corr,delta_auc_late_minus_early,none
raw_delta_mm|sat_asymptote|resid,0.7,condition_index,diploid,all,8,raw_delta_mm,sat_asymptote,resid
raw_delta_mm|delta_auc_late_minus_early|none,0.67,condition_index,diploid,all,8,raw_delta_mm,delta_auc_late_minus_early,none
raw_delta_mm|delta_auc_late_minus_early|resid,0.6,condition_index,diploid,all,8,raw_delta_mm,delta_auc_late_minus_early,resid
fc_corr_mm|sat_asymptote|resid,0.57,condition_index,diploid,all,8,fc_corr_mm,sat_asymptote,resid
raw_rfu|delta_auc_late_minus_early|resid,0.52,condition_index,diploid,all,8,raw_rfu,delta_auc_late_minus_early,resid
raw_rfu|sat_asymptote|resid,0.51,condition_index,diploid,all,8,raw_rfu,sat_asymptote,resid
raw_rfu|lin_slope|none,0.38,condition_index,diploid,all,8,raw_rfu,lin_slope,none
fc_corr_mm|delta_auc_late_minus_early|resid,0.29,condition_index,diploid,all,8,fc_corr_mm,delta_auc_late_minus_early,resid
fc_corr|sat_asymptote|resid,0.26,condition_index,diploid,all,8,fc_corr,sat_asymptote,resid
fc_corr_mm|delta_auc_late_minus_early|none,0.23,condition_index,diploid,all,8,fc_corr_mm,delta_auc_late_minus_early,none
raw_delta|frac_auc_first_half|resid,0.17,condition_index,diploid,all,8,raw_delta,frac_auc_first_half,resid
raw_delta|late_early_auc_ratio|resid,0.16,condition_index,diploid,all,8,raw_delta,late_early_auc_ratio,resid
fc_corr|late_early_auc_ratio|resid,0.15,condition_index,diploid,all,8,fc_corr,late_early_auc_ratio,resid
fc_corr|frac_auc_first_half|resid,0.13,condition_index,diploid,all,8,fc_corr,frac_auc_first_half,resid
fc_corr|delta_auc_late_minus_early|resid,0.11,condition_index,diploid,all,8,fc_corr,delta_auc_late_minus_early,resid
fc_corr_mm|rate_h2|resid,0.1,condition_index,diploid,all,8,fc_corr_mm,rate_h2,resid
raw_rfu|late_early_auc_ratio|resid,0.09,condition_index,diploid,all,8,raw_rfu,late_early_auc_ratio,resid
raw_rfu|inflection_time|none,0.07,condition_index,diploid,all,8,raw_rfu,inflection_time,none
fc_corr|rate_h2|none,0.06,condition_index,diploid,all,8,fc_corr,rate_h2,none
fc_corr|rate_h2|resid,0.06,condition_index,diploid,all,8,fc_corr,rate_h2,resid
raw_rfu|frac_auc_first_half|resid,0.06,condition_index,diploid,all,8,raw_rfu,frac_auc_first_half,resid
raw_rfu|inflection_time|resid,0.06,condition_index,diploid,all,8,raw_rfu,inflection_time,resid
raw_rfu|rate_h2|none,0.06,condition_index,diploid,all,8,raw_rfu,rate_h2,none
raw_rfu|rate_h2|resid,0.06,condition_index,diploid,all,8,raw_rfu,rate_h2,resid
raw_delta_mm|rate_h2|resid,0.03,condition_index,diploid,all,8,raw_delta_mm,rate_h2,resid
raw_rfu|sat_asymptote|none,0.03,condition_index,diploid,all,8,raw_rfu,sat_asymptote,none
fc_corr|lin_slope|none,0.02,condition_index,diploid,all,8,fc_corr,lin_slope,none
raw_delta_mm|lin_slope|none,0.02,condition_index,diploid,all,8,raw_delta_mm,lin_slope,none
raw_rfu|t_half|resid,0.02,condition_index,diploid,all,8,raw_rfu,t_half,resid
fc_corr_mm|rate_h2|none,0.01,condition_index,diploid,all,8,fc_corr_mm,rate_h2,none
fc_corr|t_half|resid,0.01,condition_index,diploid,all,8,fc_corr,t_half,resid
