index_id,PC1,PC2,PC3,PC4,feature
fc_corr_mm|final_value|none,-0.24220548303665312,0.1408504779870034,-0.0712688039747542,-0.03972910276414068,final_value
fc_corr_mm|peak_value|none,-0.24568371169549721,0.13160166382008232,-0.01298695102996099,-0.01697050808922496,peak_value
fc_corr_mm|auc_total|none,-0.2532671022062834,-0.002463656271664327,-0.04806902792404394,0.016429625591385343,auc_total
fc_corr_mm|auc_early|none,-0.23328905450800722,-0.19102645322037318,-0.07597303862359758,-0.059437896697093505,auc_early
fc_corr_mm|auc_late|none,-0.2501321604295773,0.08186295145531294,-0.03331917689424271,0.04952879016916746,auc_late
fc_corr_mm|delta_auc_late_minus_early|none,-0.21959428203759418,0.25152750490144243,9.166703648861309e-4,0.11445911966603846,delta_auc_late_minus_early
fc_corr_mm|initial_slope|none,-0.20228099077473144,-0.2655950745499913,-0.051266336425155545,-0.2584720059111174,initial_slope
fc_corr_mm|vmax|none,-0.21742235451629666,-0.16528411825103925,0.026577015088126,-0.24307530701494484,vmax
fc_corr_mm|min_slope|none,0.08080220066383884,0.11706223205287247,-0.49068455971604835,-0.06258455801395472,min_slope
fc_corr_mm|depression_abs|none,-0.11927563202397641,-0.02156252124595774,0.44330815014193276,0.1686268853671484,depression_abs
fc_corr_mm|rate_h2|none,-0.16505764550638277,0.12121239715923747,-0.11752494303796156,0.5719825707390768,rate_h2
fc_corr_mm|rate_h3|none,-0.08591017426728277,0.34204727657808875,0.2264109998694802,-0.41050014710411975,rate_h3
fc_corr_mm|rate_h4|none,0.06362855612982654,0.06254264652283187,-0.4751612501929929,-0.11301659241275099,rate_h4
fc_corr_mm|max_drop|none,-0.11021869825231698,-0.07976340667641567,0.46013722093455905,0.05533948182049285,max_drop
fc_corr_mm|lin_slope|none,-0.23491095478686563,0.19619901420179264,-0.03402137020189706,0.015288749336463963,lin_slope
fc_corr_mm|quad_coef|none,0.185734169318035,0.3224671314993953,0.04451523840431942,-0.2279947985413937,quad_coef
fc_corr_mm|mean_rate|none,-0.2425448723867134,0.1377964271344209,-0.07245620324855644,-0.040228965397857294,mean_rate
fc_corr_mm|sat_asymptote|none,-0.09478234514583418,0.29955053019312966,0.07904756824390735,-0.33983782233562776,sat_asymptote
fc_corr_mm|sat_k|none,0.0166775974022225,-0.4429671779998248,-0.006843720577081822,-0.14829130048889613,sat_k
fc_corr_mm|value_2h|none,-0.23864884014221477,-0.08402141476020297,-0.10450764543242072,0.2034897691072279,value_2h
fc_corr_mm|value_3h|none,-0.24962936311495287,0.09234909678460014,0.0011700055755318748,0.029415363049862035,value_3h
fc_corr_mm|value_4h|none,-0.2432207036010931,0.1388799322407835,-0.059218555242460634,-0.036376204727184926,value_4h
fc_corr_mm|auc_0_1h|none,-0.20228099077473144,-0.2655950745499913,-0.05126633642515557,-0.2584720059111173,auc_0_1h
fc_corr_mm|auc_0_2h|none,-0.23109710832101568,-0.20026648613414857,-0.07544713676631923,-0.075761403588246,auc_0_2h
fc_corr_mm|auc_0_3h|none,-0.24765926807346572,-0.09719198503892312,-0.07012217874155761,0.039547331039743505,auc_0_3h
