stratum,family,k,quintile,n,survival_pct,overall_survival_pct,survival_if_bottom_quintile_culled_pct,cv_auc
diploid,all,8,1,16,75,88.75,92.1875,0.6724569640062598
diploid,all,8,2,16,87.5,88.75,92.1875,0.6724569640062598
diploid,all,8,3,16,87.5,88.75,92.1875,0.6724569640062598
diploid,all,8,4,16,100,88.75,92.1875,0.6724569640062598
diploid,all,8,5,16,93.75,88.75,92.1875,0.6724569640062598
pooled_adj,fc_corr_mm_none,3,1,32,62.5,78.84615384615384,83.06451612903226,0.6655580192165558
pooled_adj,fc_corr_mm_none,3,2,31,70.96774193548387,78.84615384615384,83.06451612903226,0.6655580192165558
pooled_adj,fc_corr_mm_none,3,3,31,83.87096774193549,78.84615384615384,83.06451612903226,0.6655580192165558
pooled_adj,fc_corr_mm_none,3,4,31,83.87096774193549,78.84615384615384,83.06451612903226,0.6655580192165558
pooled_adj,fc_corr_mm_none,3,5,31,93.54838709677419,78.84615384615384,83.06451612903226,0.6655580192165558
triploid,fc_corr_mm_none,5,1,16,81.25,68.42105263157895,65,0.3857371794871795
triploid,fc_corr_mm_none,5,2,15,73.33333333333333,68.42105263157895,65,0.3857371794871795
triploid,fc_corr_mm_none,5,3,15,66.66666666666666,68.42105263157895,65,0.3857371794871795
triploid,fc_corr_mm_none,5,4,15,80,68.42105263157895,65,0.3857371794871795
triploid,fc_corr_mm_none,5,5,15,40.00000000000001,68.42105263157895,65,0.3857371794871795
