phenotype,value_metric,family_id_group,trajectory_class,n,prop
low-salinity,corrected_fc,57,rise_then_depress,8,0.3076923076923077
low-salinity,corrected_fc,60,depress_then_recover,2,0.07407407407407407
low-salinity,corrected_fc,60,monotonic_increase,19,0.7037037037037037
low-salinity,corrected_fc,60,rise_then_depress,6,0.2222222222222222
low-salinity,corrected_fc,61,monotonic_increase,21,0.7777777777777778
low-salinity,corrected_fc,61,rise_then_depress,6,0.2222222222222222
low-salinity,corrected_fc,70,monotonic_increase,25,0.9259259259259259
low-salinity,corrected_fc,70,rise_then_depress,2,0.07407407407407407
low-salinity,corrected_fc,71,monotonic_increase,23,0.92
low-salinity,corrected_fc,71,rise_then_depress,2,0.08
low-salinity,corrected_fc,72,monotonic_increase,16,0.6153846153846154
low-salinity,corrected_fc,72,rise_then_depress,10,0.38461538461538464
low-salinity,corrected_fc,74,depress_then_recover,1,0.038461538461538464
low-salinity,corrected_fc,74,monotonic_increase,19,0.7307692307692307
low-salinity,corrected_fc,74,rise_then_depress,6,0.23076923076923078
low-salinity,corrected_fc,76,monotonic_increase,19,0.7916666666666666
low-salinity,corrected_fc,76,rise_then_depress,5,0.20833333333333334
low-salinity,corrected_fc,77,monotonic_increase,21,0.875
low-salinity,corrected_fc,77,rise_then_depress,3,0.125
low-salinity,corrected_fc,78,monotonic_increase,13,0.7647058823529411
low-salinity,corrected_fc,78,rise_then_depress,4,0.23529411764705882
low-salinity,corrected_fc,79,monotonic_increase,27,0.8709677419354839
low-salinity,corrected_fc,79,rise_then_depress,4,0.12903225806451613
low-salinity,corrected_fc,80,monotonic_increase,26,0.9629629629629629
low-salinity,corrected_fc,80,rise_then_depress,1,0.037037037037037035
low-salinity,corrected_fc,82,depress_then_recover,1,0.047619047619047616
low-salinity,corrected_fc,82,monotonic_increase,13,0.6190476190476191
low-salinity,corrected_fc,82,rise_then_depress,7,0.3333333333333333
low-salinity,corrected_fc,83,depress_then_recover,5,0.19230769230769232
low-salinity,corrected_fc,83,monotonic_increase,17,0.6538461538461539
low-salinity,corrected_fc,83,rise_then_depress,4,0.15384615384615385
low-salinity,corrected_fc,84,monotonic_increase,23,0.92
low-salinity,corrected_fc,84,rise_then_depress,2,0.08
low-salinity,corrected_fc,85,monotonic_increase,19,0.7916666666666666
low-salinity,corrected_fc,85,rise_then_depress,5,0.20833333333333334
low-salinity,corrected_fc,88,monotonic_increase,13,0.65
low-salinity,corrected_fc,88,rise_then_depress,7,0.35
low-salinity,corrected_fc,90,depress_then_recover,2,0.08695652173913043
low-salinity,corrected_fc,90,monotonic_increase,19,0.8260869565217391
low-salinity,corrected_fc,90,rise_then_depress,2,0.08695652173913043
