phenotype,value_metric,feature,n,n_family,f_statistic,p_value,kruskal_p_value,eta_sq,omega_sq,max_abs_pairwise_d,p_adj_bh,rank_within_metric,rank_score
high-salinity,corrected_fc,initial_slope,638,25,4.648693119181891,5.483202525392563e-12,4.322603177963441e-11,0.1539793878627747,0.12068966415178328,1.450552704120541,1.2063045555863639e-10,1,2
high-salinity,corrected_fc,metabolic_scope,638,25,4.313946871180289,8.458813795052193e-11,1.0431543563607183e-11,0.14449365998496877,0.11084442626590424,1.5762590110969308,6.203130116371608e-10,2,4
high-salinity,corrected_fc,peak_value,638,25,4.313946871180289,8.458813795052193e-11,1.0431543563607183e-11,0.14449365998496877,0.11084442626590424,1.5762590110969308,6.203130116371608e-10,2,4
high-salinity,corrected_fc,auc_early,638,25,4.264686009701457,1.2630356761362594e-10,2.769775832911526e-10,0.14307976745785136,0.10937697313115989,1.439963903943635,6.946696218749427e-10,4,6
high-salinity,corrected_fc,final_delta,638,25,4.200865191216667,2.1214889244201763e-10,3.432677523273263e-11,0.14124100837445072,0.1074685688983141,1.576585289369674,7.77879272287398e-10,5,8
high-salinity,corrected_fc,final_value,638,25,4.200865191216667,2.1214889244201763e-10,3.432677523273263e-11,0.14124100837445072,0.1074685688983141,1.576585289369674,7.77879272287398e-10,5,8
high-salinity,corrected_fc,delta_auc_late_minus_early,638,25,4.139610893579947,3.4867666943565823e-10,7.015456305790143e-11,0.13946875720485505,0.10562920246430764,1.6080628679693254,1.0958409610834974e-9,7,10
high-salinity,corrected_fc,vmax,638,25,3.9021411377380923,2.370856187163574e-9,7.622359026980177e-10,0.1325284135686532,0.09842612980793035,1.513185668007318,6.519854514699829e-9,8,12
high-salinity,corrected_fc,auc_total,638,25,3.7748904343033307,6.575565236179183e-9,7.187400959351675e-10,0.12876308842481476,0.09451833517810636,1.3594326589676715,1.4700086804585207e-8,9,14
high-salinity,corrected_fc,auc_late,638,25,3.772884593307813,6.6818576384478206e-9,4.494011748437558e-10,0.12870347425236683,0.09445646575580788,1.4711539863533325,1.4700086804585207e-8,9,15
high-salinity,corrected_fc,stability_cv,638,25,3.507462480307018,5.500810897130681e-8,4.05567591349422e-8,0.12074243129840684,0.08619435839329279,1.2716468304090873,1.1001621794261362e-7,11,17
high-salinity,corrected_fc,time_to_vmax,638,25,2.478394675871095,1.3066991252168162e-4,2.5161995877078555e-4,0.08845072270090282,0.05268366493275721,1.0432459000821361,2.3956150628974963e-4,12,19
high-salinity,corrected_fc,inflection_time,638,25,2.3396412981317836,3.456254237544658e-4,2.8933560204253577e-4,0.08391433074394135,0.04797631039718108,1.154377821921741,5.849045632767882e-4,13,21
high-salinity,corrected_fc,time_to_min_slope,638,25,2.1745877795441166,0.0010618379422953578,0.0018046045271141538,0.07845893404407733,0.04231540880772957,0.9971844580551279,0.0016686024807498478,14,23
high-salinity,corrected_fc,metabolic_depression_index,638,25,1.955545522734582,0.004394226896506343,0.34854351715337056,0.0711179558591159,0.03469805462047838,1.3927757217521932,0.006042061982698995,15,25
high-salinity,corrected_fc,resilience_ratio,638,25,1.9555455227345087,0.00439422689650836,0.34854351715337056,0.07111795585911343,0.034698054620475816,1.392775721752197,0.006042061982698995,15,26
high-salinity,corrected_fc,min_slope,638,25,1.760209156407375,0.01437614450801984,7.603241799557147e-4,0.06447209590337902,0.027802145851899218,1.2232598336460094,0.018604422304496264,17,28
high-salinity,corrected_fc,depression_abs,638,25,1.6160386291235322,0.03247746385095998,0.34464075059394295,0.059505713443839425,0.022649001968642755,1.2397072906454696,0.0396946780400622,18,30
high-salinity,corrected_fc,late_early_auc_ratio,638,25,0.9940923109231659,0.471764286509044,1.2892930578303873e-7,0.037462365849897254,0,0.7426230457871713,0.5272622431736408,19,32
high-salinity,corrected_fc,time_to_peak,638,25,0.9885195189626993,0.479329311976037,0.3736706782248805,0.03726018023568005,0,0.7149532943209063,0.5272622431736408,19,33
high-salinity,corrected_fc,trough_value,638,25,0.9371749653611754,0.5504503492928803,0.6315182209888766,0.035393352110524454,0,0.706812994600025,0.5766622706877794,21,35
high-salinity,corrected_fc,time_to_trough,638,25,0.8355181154800376,0.6920275129676478,0.6343888018982886,0.03167578808658742,0,0.5623942272262517,0.6920275129676478,22,37
low-salinity,corrected_fc,auc_late,617,25,5.90243462995316,2.0636540532725892e-16,2.1272778124708303e-13,0.19308499038556365,0.16015392478336293,2.028944635534537,3.6375107379197155e-15,1,2
low-salinity,corrected_fc,auc_total,617,25,5.845000906008246,3.3068279435633774e-16,3.2870304853512455e-12,0.19156609162990507,0.15857519405425963,2.15878110094708,3.6375107379197155e-15,1,3
low-salinity,corrected_fc,delta_auc_late_minus_early,617,25,5.373544139805083,1.587478026713896e-14,1.805489493979413e-14,0.17887837653414296,0.145388004578851,1.6726134197626357,1.1641505529235237e-13,3,5
low-salinity,corrected_fc,metabolic_scope,617,25,5.288222472507964,3.197756130554982e-14,5.273162876382639e-13,0.17653954411041672,0.14295716149095047,1.72535671038047,1.4070126974441922e-13,4,7
low-salinity,corrected_fc,peak_value,617,25,5.288222472507964,3.197756130554982e-14,5.273162876382639e-13,0.17653954411041672,0.14295716149095047,1.72535671038047,1.4070126974441922e-13,4,7
low-salinity,corrected_fc,final_delta,617,25,5.197452099149575,6.734107203051393e-14,1.0428390991733032e-12,0.17403668060344052,0.14035585551250593,1.6909211947175273,2.1164336923875804e-13,6,9
low-salinity,corrected_fc,final_value,617,25,5.197452099149575,6.734107203051393e-14,1.0428390991733032e-12,0.17403668060344052,0.14035585551250593,1.6909211947175273,2.1164336923875804e-13,6,9
low-salinity,corrected_fc,vmax,617,25,5.146992818540152,1.018609256215951e-13,1.3378096680298576e-11,0.17263874705129803,0.13890294808519182,1.8098383345944764,2.657348817415021e-13,8,11
low-salinity,corrected_fc,initial_slope,617,25,5.130436414912144,1.1667191709773992e-13,4.948650950466352e-10,0.17217903367538728,0.13842515793249197,2.2982467597331007,2.657348817415021e-13,8,12
low-salinity,corrected_fc,auc_early,617,25,5.126207196399651,1.2078858260977368e-13,1.1171858084113553e-9,0.17206152115303378,0.13830302472020609,2.271297288516862,2.657348817415021e-13,8,13
low-salinity,corrected_fc,stability_cv,617,25,3.530835574793797,4.795311343711982e-8,3.730399082820072e-8,0.12521802621234301,0.08962146099368497,1.5308433666881294,9.590622687423964e-8,11,15
low-salinity,corrected_fc,time_to_vmax,617,25,2.6714840267234607,3.324168625242299e-5,6.520376611281633e-5,0.09771999784057733,0.06104803420500223,1.2785780268908309,6.0943091462775487e-5,12,17
low-salinity,corrected_fc,time_to_trough,617,25,2.500375878931123,1.1385182114817951e-4,1.8418039435778166e-4,0.092037102483070607,0.05514322150404773,1.3764989841422979,1.926723127123038e-4,13,19
low-salinity,corrected_fc,inflection_time,617,25,2.2920504302582785,4.865306874796364e-4,4.286149136983849e-4,0.08502075310251771,0.0478530394816288,1.0721666957090252,7.645482231822858e-4,14,21
low-salinity,corrected_fc,time_to_min_slope,617,25,1.984781652463317,0.003686732520323324,0.005224133822871064,0.07447181213933024,0.03689272132485539,1.1608459203841763,0.005407207696474209,15,23
low-salinity,corrected_fc,trough_value,617,25,1.9144884411791425,0.0057212946983191066,1.7408827968088046e-4,0.07202427559719006,0.03434979390706938,1.1804961155772242,0.007866780210188771,16,25
low-salinity,corrected_fc,metabolic_depression_index,617,25,1.5097104781716781,0.05719211864068862,0.09822178115009159,0.057674538757529106,0.01944120933797536,1.1817501119335814,0.06990147833865774,17,27
