trace_id,family_id_group,phenotype,value_metric,baseline_value,final_value,peak_value,trough_value,time_to_peak,time_to_trough,auc_total,auc_early,auc_late,delta_auc_late_minus_early,late_early_auc_ratio,initial_slope,vmax,time_to_vmax,min_slope,time_to_min_slope,inflection_time,metabolic_scope,final_delta,depression_abs,metabolic_depression_index,resilience_ratio,stability_cv,trajectory_class,n_timepoints
20250701 plate1 A02,48,low-salinity,corrected_fc,0,6.212643324814706,6.4128113733162495,0,3,0,22.18610364806639,9.488683305513813,12.697420342552576,3.2087370370387625,1.3381646255570765,6.31039599868484,6.31039599868484,0.5,-0.2001680485015438,3.5,1.5,6.4128113733162495,6.212643324814706,0.2001680485015438,0.031213774559851293,0.9687862254401487,0.5592051122767542,rise_then_depress,5
20250701 plate1 A04,78,low-salinity,corrected_fc,0,7.01455241739349,7.01455241739349,0,4,0,19.508933518018857,6.883210939345204,12.625722578673653,5.742511639328448,1.8342780266261505,4.478040430917283,4.478040430917283,0.5,0.3012765558445052,3.5,1.5,7.01455241739349,7.01455241739349,0,0,1,0.60976893246776,monotonic_increase,5
20250701 plate1 A05,39,high-salinity,corrected_fc,0,2.8462493469623134,2.8462493469623134,0,4,0,8.671149658980381,3.3329341732106768,5.338215485769704,2.0052813125590276,1.6016564409453378,2.1561665335874944,2.1561665335874944,0.5,0.10792617429694751,3.5,1.5,2.8462493469623134,2.8462493469623134,0,0,1,0.5759935810925888,monotonic_increase,5
20250701 plate1 A06,2,high-salinity,corrected_fc,0,6.638942259235005,6.885976467457284,0,3,0,17.4114979093629,5.2698742775377525,12.141623631825151,6.871749354287399,2.3039683666795354,3.333698242787388,3.333698242787388,0.5,-0.24703420822227873,3.5,3.5,6.885976467457284,6.638942259235005,0.24703420822227873,0.03587497131158489,0.9641250286884151,0.6783934372300896,rise_then_depress,5
20250701 plate1 B02,48,low-salinity,corrected_fc,0,6.652542122936834,6.652542122936834,0,4,0,23.040569377455462,9.7974218218157,13.243147555639766,3.445725733824066,1.3516971910050404,6.489322046370193,6.489322046370193,0.5,-0.007422832165175031,2.5,1.5,6.652542122936834,6.652542122936834,0,0,1,0.5591381977700002,rise_then_depress,5
20250701 plate1 B04,78,low-salinity,corrected_fc,0,7.686964063016612,7.686964063016612,0,4,0,20.887087908014344,7.362530093668101,13.524557814346245,6.162027720678144,1.836944317005589,4.831726515792868,4.831726515792868,0.5,0.22988063995759855,1.5,1.5,7.686964063016612,7.686964063016612,0,0,1,0.6137474088901131,monotonic_increase,5
20250701 plate1 B05,39,high-salinity,corrected_fc,0,4.8573510902063095,4.8573510902063095,0,4,0,11.46195984975703,3.8549597166192626,7.607000133137768,3.752040416518505,1.9733021075013941,2.4250916567265075,2.4250916567265075,0.5,0.43464446305900184,1.5,1.5,4.8573510902063095,4.8573510902063095,0,0,1,0.6517565696003051,monotonic_increase,5
20250701 plate1 B06,2,high-salinity,corrected_fc,0,0.7888101993688007,0.7888101993688007,0,4,0,1.827036250553395,0.5094520061971848,1.3175842443562105,0.8081322381590257,2.5862774674131637,0.2691352467171723,0.2691352467171723,0.5,0.10594781417700316,3.5,3.5,0.7888101993688007,0.7888101993688007,0,0,1,0.7162013440298882,monotonic_increase,5
20250701 plate1 C03,49,low-salinity,corrected_fc,0,5.086764613213869,5.086764613213869,0,4,0,10.827666251619439,3.4990883159832267,7.328577935636213,3.8294896196529864,2.09442496840121,2.2065549965245466,2.2065549965245466,0.5,0.37851164239281365,1.5,1.5,5.086764613213869,5.086764613213869,0,0,1,0.6962843581728825,monotonic_increase,5
20250701 plate1 C04,78,low-salinity,corrected_fc,0,7.593083608398779,7.593083608398779,0,4,0,17.025626400815995,4.988322119680526,12.037304281135471,7.048982161454945,2.41309682741707,3.1239783975748154,3.1239783975748154,0.5,0.6047090466366054,1.5,1.5,7.593083608398779,7.593083608398779,0,0,1,0.7129785207739212,monotonic_increase,5
20250701 plate1 C05,39,high-salinity,corrected_fc,0,2.8932205523265373,2.8932205523265373,0,4,0,4.870311055569851,1.1057081769080381,3.7646028786618126,2.6588947017537743,3.4046984161671032,0.4952543828723477,1.1856817438636837,3.5,0.48663122039147266,2.5,3.5,2.8932205523265373,2.8932205523265373,0,0,1,0.8886260530011664,monotonic_increase,5
20250701 plate1 C06,2,high-salinity,corrected_fc,0,2.727766806947733,2.727766806947733,0,4,0,8.508187793059058,3.320850152012814,5.187337641046244,1.86648748903343,1.5620511024570396,2.1250030893721594,2.1250030893721594,0.5,0.1001596320160103,3.5,1.5,2.727766806947733,2.727766806947733,0,0,1,0.5712961222946182,monotonic_increase,5
20250701 plate1 D02,48,low-salinity,corrected_fc,0,7.307424948528541,7.376740339878731,0,3,0,17.085484013480137,4.477376414002911,12.608107599477227,8.130731185474318,2.815958819107906,2.899721628668685,4.221430769210279,2.5,-0.06931539135019005,3.5,3.5,7.376740339878731,7.307424948528541,0.06931539135019005,0.009396479767014484,0.9906035202329855,0.7638793156482699,rise_then_depress,5
20250701 plate1 D04,78,low-salinity,corrected_fc,0,7.218205825174983,7.218205825174983,0,4,0,20.089519230199336,6.554006915593001,13.535512314606336,6.9815053990133356,2.0652270418578977,3.759212234506448,3.759212234506448,0.5,0.08659110424269034,3.5,1.5,7.218205825174983,7.218205825174983,0,0,1,0.6330595744672828,monotonic_increase,5
20250701 plate1 D05,39,high-salinity,corrected_fc,0,4.994494459548359,4.994494459548359,0,4,0,11.455985983101261,3.5478584333288383,7.9081275497724235,4.360269116443585,2.228986217568013,2.252737929195916,2.252737929195916,0.5,0.3375030790699278,1.5,1.5,4.994494459548359,4.994494459548359,0,0,1,0.6876505769511957,monotonic_increase,5
20250701 plate1 D06,2,high-salinity,corrected_fc,0,6.114052982052764,6.114052982052764,0,4,0,14.922703642495861,3.888185056719873,11.034518585775988,7.146333529056115,2.8379612659395543,1.8116649145346229,2.3413753698358777,1.5,0.213081029488408,3.5,3.5,6.114052982052764,6.114052982052764,0,0,1,0.7367946833216759,monotonic_increase,5
20250701 plate10 A02,37,high-salinity,corrected_fc,0,2.6093765865801646,2.6093765865801646,0,4,0,6.85070832848321,2.490299826812456,4.360408501670754,1.8701086748582982,1.750957236041737,1.5747862289910923,1.5747862289910923,0.5,0.25624096665163565,1.5,1.5,2.6093765865801646,2.6093765865801646,0,0,1,0.6069170118052983,monotonic_increase,5
20250701 plate10 A04,83,low-salinity,corrected_fc,0,1.365579839604045,1.365579839604045,0,4,0,3.319942891536183,0.9440295873076083,2.3759133042285745,1.4318837169209662,2.5167784317064976,0.5355988418545433,0.5355988418545433,0.5,0.08088720063055832,3.5,3.5,1.365579839604045,1.365579839604045,0,0,1,0.7024709643719902,monotonic_increase,5
20250701 plate10 A05,49,low-salinity,corrected_fc,0,3.873005522336612,3.87438462738586,0,3,0,11.068735298733298,3.845673132606879,7.223062166126419,3.37738903351954,1.878230914864597,2.4334983550346263,2.4334983550346263,0.5,-0.0013791050492479862,3.5,1.5,3.87438462738586,3.873005522336612,0.0013791050492479862,3.559546048938619e-4,0.9996440453951061,0.6103922804617044,rise_then_depress,5
20250701 plate10 A06,71,low-salinity,corrected_fc,0,5.959685571284209,5.959685571284209,0,4,0,16.0173234353755,4.716391207370964,11.300932228004536,6.584541020633572,2.396097297938939,2.3356680766664817,2.4257781847424824,1.5,0.019319259626259466,3.5,2.5,5.959685571284209,5.959685571284209,0,0,1,0.6806847075775618,monotonic_increase,5
20250701 plate10 B02,37,high-salinity,corrected_fc,0,3.684782892737061,3.684782892737061,0,4,0,10.975936437871997,4.175207256953799,6.8007291809182,2.625521923964401,1.6288363097644074,2.647288004477368,2.647288004477368,0.5,0.2543644106638232,3.5,1.5,3.684782892737061,3.684782892737061,0,0,1,0.5795399712709286,monotonic_increase,5
20250701 plate10 B03,31,high-salinity,corrected_fc,0,1.4216158007819557,1.4216158007819557,0,4,0,2.9793149420642706,0.6900326758664027,2.289282266197868,1.599249590331465,3.3176432743905244,0.2760732575042879,0.5518455792199417,1.5,0.2571008533371806,3.5,1.5,1.4216158007819557,1.4216158007819557,0,0,1,0.8059930644976084,monotonic_increase,5
20250701 plate10 B05,49,low-salinity,corrected_fc,0,6.5524734196932695,6.5524734196932695,0,4,0,16.13023419917011,4.755546086848039,11.37468811232207,6.619142025474032,2.391878430908274,2.9722731302912626,2.9722731302912626,0.5,0.23729497377460884,3.5,3.5,6.5524734196932695,6.5524734196932695,0,0,1,0.6943168440601543,monotonic_increase,5
20250701 plate10 C02,37,high-salinity,corrected_fc,0,4.092606125339711,4.092606125339711,0,4,0,12.630256518709919,4.874490269626296,7.7557662490836226,2.8812759794573264,1.5910927748509425,3.0969728740049867,3.0969728740049867,0.5,0.16066033454725304,3.5,1.5,4.092606125339711,4.092606125339711,0,0,1,0.5740940400313531,monotonic_increase,5
20250701 plate10 C04,83,low-salinity,corrected_fc,0,5.274220373338422,5.274220373338422,0,4,0,14.93083971415326,5.450130889602531,9.48070882455073,4.030577934948199,1.7395378233277885,3.562818622470157,3.562818622470157,0.5,0.2118059117945914,1.5,1.5,5.274220373338422,5.274220373338422,0,0,1,0.5969515670715472,monotonic_increase,5
