phenotype,value_metric,feature,contrast,estimate,SE,df,t.ratio,p.value
high-salinity,corrected_fc,auc_early,42-14,0.6998489512421076,NA,NA,NA,0.9968929245317607
high-salinity,corrected_fc,auc_early,43-14,-0.8178640426466135,NA,NA,NA,0.9578290726326784
high-salinity,corrected_fc,auc_early,5-14,0.2708040798160316,NA,NA,NA,0.9999999999451371
high-salinity,corrected_fc,auc_early,6-14,-0.5921949195102036,NA,NA,NA,0.9996087620987566
high-salinity,corrected_fc,auc_early,7-14,-0.44544591272765777,NA,NA,NA,0.9999984248735506
high-salinity,corrected_fc,auc_early,16-15,0.42663580942262636,NA,NA,NA,0.9999995498690348
high-salinity,corrected_fc,auc_early,19-15,0.7914557817159324,NA,NA,NA,0.9763413492343902
high-salinity,corrected_fc,auc_early,2-15,-0.21363953734019714,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,20-15,0.12734438235374457,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,21-15,1.0316715339737526,NA,NA,NA,0.7466953132166859
high-salinity,corrected_fc,auc_early,24-15,1.6405405993425615,NA,NA,NA,0.030034432059363736
high-salinity,corrected_fc,auc_early,25-15,-0.07001010550869813,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,26-15,0.6591006098375161,NA,NA,NA,0.9984465482690073
high-salinity,corrected_fc,auc_early,31-15,0.18374784907078,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,32-15,1.026675808317473,NA,NA,NA,0.7877009263168699
high-salinity,corrected_fc,auc_early,33-15,-0.3638671795198323,NA,NA,NA,0.9999999517141622
high-salinity,corrected_fc,auc_early,34-15,-0.05302975663500975,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,36-15,1.6216151017699034,NA,NA,NA,0.030724265477414248
high-salinity,corrected_fc,auc_early,37-15,1.268571784068913,NA,NA,NA,0.285819083113216
high-salinity,corrected_fc,auc_early,38-15,0.0895652141726162,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,39-15,0.49966805140754467,NA,NA,NA,0.9999881231490524
high-salinity,corrected_fc,auc_early,41-15,0.6743985042442233,NA,NA,NA,0.9974711027316417
high-salinity,corrected_fc,auc_early,42-15,1.4788848880817955,NA,NA,NA,0.12464966481741291
high-salinity,corrected_fc,auc_early,43-15,-0.03882810580692553,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,5-15,1.0498400166557196,NA,NA,NA,0.7336173627267719
high-salinity,corrected_fc,auc_early,6-15,0.18684101732948433,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,7-15,0.3335900241120302,NA,NA,NA,0.9999999965899353
high-salinity,corrected_fc,auc_early,19-16,0.3648199722933061,NA,NA,NA,0.999999978339797
high-salinity,corrected_fc,auc_early,2-16,-0.6402753467628235,NA,NA,NA,0.9991846534834581
high-salinity,corrected_fc,auc_early,20-16,-0.2992914270688818,NA,NA,NA,0.999999999834037
high-salinity,corrected_fc,auc_early,21-16,0.6050357245511262,NA,NA,NA,0.9997159630188857
high-salinity,corrected_fc,auc_early,24-16,1.2139047899199351,NA,NA,NA,0.5022318178949924
high-salinity,corrected_fc,auc_early,25-16,-0.4966459149313245,NA,NA,NA,0.9999898580119612
high-salinity,corrected_fc,auc_early,26-16,0.2324648004148897,NA,NA,NA,0.9999999999995473
high-salinity,corrected_fc,auc_early,31-16,-0.24288796035184634,NA,NA,NA,0.999999999998219
high-salinity,corrected_fc,auc_early,32-16,0.6000399988948466,NA,NA,NA,0.9998206555920468
high-salinity,corrected_fc,auc_early,33-16,-0.7905029889424586,NA,NA,NA,0.9824732072969263
high-salinity,corrected_fc,auc_early,34-16,-0.4796655660576361,NA,NA,NA,0.9999979740378159
high-salinity,corrected_fc,auc_early,36-16,1.194979292347277,NA,NA,NA,0.5162378612505127
high-salinity,corrected_fc,auc_early,37-16,0.8419359746462867,NA,NA,NA,0.9635639829736232
high-salinity,corrected_fc,auc_early,38-16,-0.33707059525001015,NA,NA,NA,0.9999999972549163
high-salinity,corrected_fc,auc_early,39-16,0.07303224198491831,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,41-16,0.24776269482159696,NA,NA,NA,0.9999999999963858
high-salinity,corrected_fc,auc_early,42-16,1.0522490786591692,NA,NA,NA,0.8118228992601041
high-salinity,corrected_fc,auc_early,43-16,-0.4654639152295519,NA,NA,NA,0.9999965245398184
high-salinity,corrected_fc,auc_early,5-16,0.6232042072330932,NA,NA,NA,0.9996036121215135
high-salinity,corrected_fc,auc_early,6-16,-0.23979479209314203,NA,NA,NA,0.9999999999983553
high-salinity,corrected_fc,auc_early,7-16,-0.09304578531059615,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,2-19,-1.0050953190561296,NA,NA,NA,0.7588606280915633
high-salinity,corrected_fc,auc_early,20-19,-0.6641113993621879,NA,NA,NA,0.9982990339420085
high-salinity,corrected_fc,auc_early,21-19,0.2402157522578201,NA,NA,NA,0.9999999999954274
high-salinity,corrected_fc,auc_early,24-19,0.849084817626629,NA,NA,NA,0.9536479687129187
high-salinity,corrected_fc,auc_early,25-19,-0.8614658872246306,NA,NA,NA,0.9341997294133934
high-salinity,corrected_fc,auc_early,26-19,-0.1323551718784164,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,31-19,-0.6077079326451524,NA,NA,NA,0.9994948396419545
high-salinity,corrected_fc,auc_early,32-19,0.2352200266015405,NA,NA,NA,0.999999999998322
high-salinity,corrected_fc,auc_early,33-19,-1.1553229612357647,NA,NA,NA,0.46000194506153846
high-salinity,corrected_fc,auc_early,34-19,-0.8444855383509422,NA,NA,NA,0.9700045744649222
high-salinity,corrected_fc,auc_early,36-19,0.830159320053971,NA,NA,NA,0.9594435729839361
high-salinity,corrected_fc,auc_early,37-19,0.4771160023529806,NA,NA,NA,0.9999876492408415
high-salinity,corrected_fc,auc_early,38-19,-0.7018905675433162,NA,NA,NA,0.9955725998243314
high-salinity,corrected_fc,auc_early,39-19,-0.2917877303083878,NA,NA,NA,0.999999999774374
high-salinity,corrected_fc,auc_early,41-19,-0.11705727747170913,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,42-19,0.6874291063658631,NA,NA,NA,0.9976036311479258
high-salinity,corrected_fc,auc_early,43-19,-0.830283887522858,NA,NA,NA,0.9505011758072403
high-salinity,corrected_fc,auc_early,5-19,0.2583842349397871,NA,NA,NA,0.9999999999807927
high-salinity,corrected_fc,auc_early,6-19,-0.6046147643864481,NA,NA,NA,0.9994527367958226
high-salinity,corrected_fc,auc_early,7-19,-0.45786575760390225,NA,NA,NA,0.9999973127938409
high-salinity,corrected_fc,auc_early,20-2,0.3409839196939417,NA,NA,NA,0.9999999933998072
high-salinity,corrected_fc,auc_early,21-2,1.2453110713139497,NA,NA,NA,0.3398072931090089
high-salinity,corrected_fc,auc_early,24-2,1.8541801366827586,NA,NA,NA,0.0037803427546063695
high-salinity,corrected_fc,auc_early,25-2,0.143629431831499,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,26-2,0.8727401471777132,NA,NA,NA,0.9384126638009136
high-salinity,corrected_fc,auc_early,31-2,0.39738738641097715,NA,NA,NA,0.9999997998586161
high-salinity,corrected_fc,auc_early,32-2,1.24031534565767,NA,NA,NA,0.39156801389140194
high-salinity,corrected_fc,auc_early,33-2,-0.15022764217963513,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,34-2,0.1606097807051874,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,36-2,1.8352546391101006,NA,NA,NA,0.0037923194985094444
high-salinity,corrected_fc,auc_early,37-2,1.4822113214091102,NA,NA,NA,0.0658228609743301
high-salinity,corrected_fc,auc_early,38-2,0.30320475151281334,NA,NA,NA,0.9999999993387658
high-salinity,corrected_fc,auc_early,39-2,0.7133075887477418,NA,NA,NA,0.9952246063356951
high-salinity,corrected_fc,auc_early,41-2,0.8880380415844205,NA,NA,NA,0.9193700727225764
high-salinity,corrected_fc,auc_early,42-2,1.6925244254219927,NA,NA,NA,0.023387839436789015
high-salinity,corrected_fc,auc_early,43-2,0.1748114315332716,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,5-2,1.2634795539959167,NA,NA,NA,0.3308805703845398
high-salinity,corrected_fc,auc_early,6-2,0.40048055466968147,NA,NA,NA,0.999999712736093
high-salinity,corrected_fc,auc_early,7-2,0.5472295614522273,NA,NA,NA,0.9999277584696791
high-salinity,corrected_fc,auc_early,21-20,0.904327151620008,NA,NA,NA,0.9278995517311852
high-salinity,corrected_fc,auc_early,24-20,1.513196216988817,NA,NA,NA,0.09796696338998334
high-salinity,corrected_fc,auc_early,25-20,-0.1973544878624427,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,26-20,0.5317562274837715,NA,NA,NA,0.9999687877674512
high-salinity,corrected_fc,auc_early,31-20,0.056403466717035444,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,32-20,0.8993314259637284,NA,NA,NA,0.9439505045026612
high-salinity,corrected_fc,auc_early,33-20,-0.49121156187357684,NA,NA,NA,0.9999880401773451
high-salinity,corrected_fc,auc_early,34-20,-0.18037413898875432,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,36-20,1.4942707194161589,NA,NA,NA,0.1010613128242448
high-salinity,corrected_fc,auc_early,37-20,1.1412274017151685,NA,NA,NA,0.5540011625862443
high-salinity,corrected_fc,auc_early,38-20,-0.037779168181128364,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,39-20,0.3723236690538001,NA,NA,NA,0.9999999768552998
high-salinity,corrected_fc,auc_early,41-20,0.5470541218904788,NA,NA,NA,0.9999386458206556
high-salinity,corrected_fc,auc_early,42-20,1.351540505728051,NA,NA,NA,0.2965736436525579
high-salinity,corrected_fc,auc_early,43-20,-0.1661724881606701,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,5-20,0.922495634301975,NA,NA,NA,0.9202876072805573
high-salinity,corrected_fc,auc_early,6-20,0.05949663497573976,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,7-20,0.20624564175828564,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,24-21,0.6088690653688089,NA,NA,NA,0.9995506609020308
high-salinity,corrected_fc,auc_early,25-21,-1.1016816394824507,NA,NA,NA,0.6028064574711757
high-salinity,corrected_fc,auc_early,26-21,-0.3725709241362365,NA,NA,NA,0.9999999559761759
high-salinity,corrected_fc,auc_early,31-21,-0.8479236849029725,NA,NA,NA,0.9585893866626503
high-salinity,corrected_fc,auc_early,32-21,-0.004995725656279593,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,33-21,-1.3955387134935848,NA,NA,NA,0.13458429793517912
high-salinity,corrected_fc,auc_early,34-21,-1.0847012906087623,NA,NA,NA,0.7352596500203628
high-salinity,corrected_fc,auc_early,36-21,0.5899435677961509,NA,NA,NA,0.9996846583681325
high-salinity,corrected_fc,auc_early,37-21,0.23690025009516047,NA,NA,NA,0.9999999999959392
high-salinity,corrected_fc,auc_early,38-21,-0.9421063198011363,NA,NA,NA,0.8838965956512946
high-salinity,corrected_fc,auc_early,39-21,-0.5320034825662079,NA,NA,NA,0.9999626506255965
high-salinity,corrected_fc,auc_early,41-21,-0.35727302972952923,NA,NA,NA,0.9999999774505558
high-salinity,corrected_fc,auc_early,42-21,0.44721335410804297,NA,NA,NA,0.9999988531875197
high-salinity,corrected_fc,auc_early,43-21,-1.070499639780678,NA,NA,NA,0.6436410734913774
high-salinity,corrected_fc,auc_early,5-21,0.018168482681967024,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,6-21,-0.8448305166442682,NA,NA,NA,0.9557140395389891
high-salinity,corrected_fc,auc_early,7-21,-0.6980815098617223,NA,NA,NA,0.9968982326754836
high-salinity,corrected_fc,auc_early,25-24,-1.7105507048512596,NA,NA,NA,0.014523468116917293
high-salinity,corrected_fc,auc_early,26-24,-0.9814399895050454,NA,NA,NA,0.8489201697100957
high-salinity,corrected_fc,auc_early,31-24,-1.4567927502717815,NA,NA,NA,0.12829627344568184
high-salinity,corrected_fc,auc_early,32-24,-0.6138647910250885,NA,NA,NA,0.9996294515721844
high-salinity,corrected_fc,auc_early,33-24,-2.0044077788623937,NA,NA,NA,6.631032701397421e-4
high-salinity,corrected_fc,auc_early,34-24,-1.6935703559775712,NA,NA,NA,0.03466594558185099
high-salinity,corrected_fc,auc_early,36-24,-0.018925497572658045,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,37-24,-0.37196881527364845,NA,NA,NA,0.9999999383866962
high-salinity,corrected_fc,auc_early,38-24,-1.5509753851699453,NA,NA,NA,0.0674280897673123
high-salinity,corrected_fc,auc_early,39-24,-1.1408725479350168,NA,NA,NA,0.6117920852501982
high-salinity,corrected_fc,auc_early,41-24,-0.9661420950983381,NA,NA,NA,0.8561657202914398
high-salinity,corrected_fc,auc_early,42-24,-0.16165571126076594,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,43-24,-1.679368705149487,NA,NA,NA,0.01680631333768301
high-salinity,corrected_fc,auc_early,5-24,-0.5907005826868419,NA,NA,NA,0.9997673642478373
high-salinity,corrected_fc,auc_early,6-24,-1.4536995820130771,NA,NA,NA,0.1194222994686801
high-salinity,corrected_fc,auc_early,7-24,-1.3069505752305313,NA,NA,NA,0.3215423074735839
high-salinity,corrected_fc,auc_early,26-25,0.7291107153462142,NA,NA,NA,0.9925550890099695
high-salinity,corrected_fc,auc_early,31-25,0.25375795457947814,NA,NA,NA,0.9999999999872532
high-salinity,corrected_fc,auc_early,32-25,1.096685913826171,NA,NA,NA,0.654565257869836
high-salinity,corrected_fc,auc_early,33-25,-0.29385707401113415,NA,NA,NA,0.9999999993765046
high-salinity,corrected_fc,auc_early,34-25,0.016980348873688378,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,36-25,1.6916252072786016,NA,NA,NA,0.014753973582557145
high-salinity,corrected_fc,auc_early,37-25,1.3385818895776112,NA,NA,NA,0.17800682082475738
high-salinity,corrected_fc,auc_early,38-25,0.15957531968131433,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,39-25,0.5696781569162428,NA,NA,NA,0.9998551858227425
high-salinity,corrected_fc,auc_early,41-25,0.7444086097529214,NA,NA,NA,0.9888529799759448
high-salinity,corrected_fc,auc_early,42-25,1.5488949935904937,NA,NA,NA,0.07093914408068813
high-salinity,corrected_fc,auc_early,43-25,0.0311819997017726,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,5-25,1.1198501221644177,NA,NA,NA,0.5896221640428553
high-salinity,corrected_fc,auc_early,6-25,0.25685112283818246,NA,NA,NA,0.9999999999789307
high-salinity,corrected_fc,auc_early,7-25,0.40360012962072833,NA,NA,NA,0.999999779323206
high-salinity,corrected_fc,auc_early,31-26,-0.47535276076673605,NA,NA,NA,0.9999952851944711
high-salinity,corrected_fc,auc_early,32-26,0.3675751984799569,NA,NA,NA,0.9999999781458829
high-salinity,corrected_fc,auc_early,33-26,-1.0229677893573483,NA,NA,NA,0.7476377598176702
high-salinity,corrected_fc,auc_early,34-26,-0.7121303664725258,NA,NA,NA,0.997401981148722
high-salinity,corrected_fc,auc_early,36-26,0.9625144919323874,NA,NA,NA,0.8605807365570797
high-salinity,corrected_fc,auc_early,37-26,0.609471174231397,NA,NA,NA,0.9993920970294188
high-salinity,corrected_fc,auc_early,38-26,-0.5695353956648999,NA,NA,NA,0.9998746132892702
high-salinity,corrected_fc,auc_early,39-26,-0.1594325584299714,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,41-26,0.015297894406707258,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,42-26,0.8197842782442795,NA,NA,NA,0.9802153831760484
high-salinity,corrected_fc,auc_early,43-26,-0.6979287156444416,NA,NA,NA,0.9953834934540206
high-salinity,corrected_fc,auc_early,5-26,0.3907394068182035,NA,NA,NA,0.9999999036004973
high-salinity,corrected_fc,auc_early,6-26,-0.47225959250803173,NA,NA,NA,0.9999949909244201
high-salinity,corrected_fc,auc_early,7-26,-0.32551058572548586,NA,NA,NA,0.9999999983611965
high-salinity,corrected_fc,auc_early,32-31,0.842927959246693,NA,NA,NA,0.9689052754135155
high-salinity,corrected_fc,auc_early,33-31,-0.5476150285906123,NA,NA,NA,0.9998975384116886
high-salinity,corrected_fc,auc_early,34-31,-0.23677760570578976,NA,NA,NA,0.9999999999993863
high-salinity,corrected_fc,auc_early,36-31,1.4378672526991234,NA,NA,NA,0.13237487612352483
high-salinity,corrected_fc,auc_early,37-31,1.084823934998133,NA,NA,NA,0.6375236620321071
high-salinity,corrected_fc,auc_early,38-31,-0.09418263489816381,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,39-31,0.31592020233676466,NA,NA,NA,0.9999999991431292
high-salinity,corrected_fc,auc_early,41-31,0.4906506551734433,NA,NA,NA,0.9999897103451605
high-salinity,corrected_fc,auc_early,42-31,1.2951370390110155,NA,NA,NA,0.36249674184492564
high-salinity,corrected_fc,auc_early,43-31,-0.22257595487770554,NA,NA,NA,0.9999999999994048
high-salinity,corrected_fc,auc_early,5-31,0.8660921675849396,NA,NA,NA,0.9531730067879701
high-salinity,corrected_fc,auc_early,6-31,0.0030931682587043152,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,7-31,0.1498421750412502,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,33-32,-1.3905429878373052,NA,NA,NA,0.16750560619856147
high-salinity,corrected_fc,auc_early,34-32,-1.0797055649524827,NA,NA,NA,0.7743428216409041
high-salinity,corrected_fc,auc_early,36-32,0.5949392934524305,NA,NA,NA,0.9997413855644558
high-salinity,corrected_fc,auc_early,37-32,0.24189597575144006,NA,NA,NA,0.999999999995965
high-salinity,corrected_fc,auc_early,38-32,-0.9371105941448568,NA,NA,NA,0.907579852857163
high-salinity,corrected_fc,auc_early,39-32,-0.5270077569099283,NA,NA,NA,0.999977920552957
high-salinity,corrected_fc,auc_early,41-32,-0.35227730407324964,NA,NA,NA,0.9999999891017104
high-salinity,corrected_fc,auc_early,42-32,0.45220907976432256,NA,NA,NA,0.9999990218888026
high-salinity,corrected_fc,auc_early,43-32,-1.0655039141243985,NA,NA,NA,0.694034180630386
high-salinity,corrected_fc,auc_early,5-32,0.023164208338246617,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,6-32,-0.8398347909879886,NA,NA,NA,0.9667987666713794
high-salinity,corrected_fc,auc_early,7-32,-0.6930857842054428,NA,NA,NA,0.9979009921345408
high-salinity,corrected_fc,auc_early,34-33,0.3108374228848225,NA,NA,NA,0.9999999993566937
high-salinity,corrected_fc,auc_early,36-33,1.9854822812897357,NA,NA,NA,6.518397881339899e-4
high-salinity,corrected_fc,auc_early,37-33,1.6324389635887453,NA,NA,NA,0.01661014227309776
high-salinity,corrected_fc,auc_early,38-33,0.4534323936924485,NA,NA,NA,0.9999967648732877
high-salinity,corrected_fc,auc_early,39-33,0.8635352309273769,NA,NA,NA,0.9459683623419396
high-salinity,corrected_fc,auc_early,41-33,1.0382656837640556,NA,NA,NA,0.7029086627433139
high-salinity,corrected_fc,auc_early,42-33,1.8427520676016278,NA,NA,NA,0.005402720616509149
high-salinity,corrected_fc,auc_early,43-33,0.32503907371290675,NA,NA,NA,0.9999999933140409
high-salinity,corrected_fc,auc_early,5-33,1.4137071961755519,NA,NA,NA,0.13130637752542784
high-salinity,corrected_fc,auc_early,6-33,0.5507081968493166,NA,NA,NA,0.9998653065441276
high-salinity,corrected_fc,auc_early,7-33,0.6974572036318625,NA,NA,NA,0.9960741073566648
high-salinity,corrected_fc,auc_early,36-34,1.6746448584049132,NA,NA,NA,0.03564797896072114
high-salinity,corrected_fc,auc_early,37-34,1.3216015407039228,NA,NA,NA,0.29365741210789365
high-salinity,corrected_fc,auc_early,38-34,0.14259497080762595,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,39-34,0.5526978080425544,NA,NA,NA,0.9999650366320247
high-salinity,corrected_fc,auc_early,41-34,0.7274282608792331,NA,NA,NA,0.9959881926393392
high-salinity,corrected_fc,auc_early,42-34,1.5319146447168053,NA,NA,NA,0.13149422356821705
high-salinity,corrected_fc,auc_early,43-34,0.014201650828084222,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,5-34,1.1028697732907293,NA,NA,NA,0.7219197116359448
high-salinity,corrected_fc,auc_early,6-34,0.23987077396449408,NA,NA,NA,0.9999999999987973
high-salinity,corrected_fc,auc_early,7-34,0.38661978074703995,NA,NA,NA,0.9999999680169357
high-salinity,corrected_fc,auc_early,37-36,-0.3530433177009904,NA,NA,NA,0.9999999742803931
high-salinity,corrected_fc,auc_early,38-36,-1.5320498875972872,NA,NA,NA,0.06939244977722825
high-salinity,corrected_fc,auc_early,39-36,-1.1219470503623588,NA,NA,NA,0.6266860673653605
high-salinity,corrected_fc,auc_early,41-36,-0.9472165975256801,NA,NA,NA,0.8675558739194708
high-salinity,corrected_fc,auc_early,42-36,-0.1427302136881079,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,43-36,-1.660443207576829,NA,NA,NA,0.01707429265211924
high-salinity,corrected_fc,auc_early,5-36,-0.5717750851141838,NA,NA,NA,0.9998417380326008
high-salinity,corrected_fc,auc_early,6-36,-1.434774084440419,NA,NA,NA,0.12311787847502953
high-salinity,corrected_fc,auc_early,7-36,-1.2880250776578732,NA,NA,NA,0.3317499563951529
high-salinity,corrected_fc,auc_early,38-37,-1.1790065698962968,NA,NA,NA,0.45927601606035506
high-salinity,corrected_fc,auc_early,39-37,-0.7689037326613684,NA,NA,NA,0.985634008479361
high-salinity,corrected_fc,auc_early,41-37,-0.5941732798246897,NA,NA,NA,0.9995233193528394
high-salinity,corrected_fc,auc_early,42-37,0.2103131040128825,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,43-37,-1.3073998898758386,NA,NA,NA,0.20004745378977606
high-salinity,corrected_fc,auc_early,5-37,-0.21873176741319345,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,6-37,-1.0817307667394287,NA,NA,NA,0.6223915295177914
high-salinity,corrected_fc,auc_early,7-37,-0.9349817599568828,NA,NA,NA,0.8845630194536728
high-salinity,corrected_fc,auc_early,39-38,0.41010283723492846,NA,NA,NA,0.999999790216695
high-salinity,corrected_fc,auc_early,41-38,0.5848332900716071,NA,NA,NA,0.9997684248688485
high-salinity,corrected_fc,auc_early,42-38,1.3893196739091793,NA,NA,NA,0.2282803199897392
high-salinity,corrected_fc,auc_early,43-38,-0.12839331997954173,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,5-38,0.9602748024831034,NA,NA,NA,0.8740590907545308
high-salinity,corrected_fc,auc_early,6-38,0.09727580315686812,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,7-38,0.244024809939414,NA,NA,NA,0.9999999999973793
high-salinity,corrected_fc,auc_early,41-39,0.17473045283667865,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,42-39,0.9792168366742509,NA,NA,NA,0.8861546728256746
high-salinity,corrected_fc,auc_early,43-39,-0.5384961572144702,NA,NA,NA,0.9999368058616265
high-salinity,corrected_fc,auc_early,5-39,0.5501719652481749,NA,NA,NA,0.9999426539185627
high-salinity,corrected_fc,auc_early,6-39,-0.31282703407806034,NA,NA,NA,0.999999999149261
high-salinity,corrected_fc,auc_early,7-39,-0.16607802729551446,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,42-41,0.8044863838375722,NA,NA,NA,0.9823697417969686
high-salinity,corrected_fc,auc_early,43-41,-0.7132266100511488,NA,NA,NA,0.9928575983995542
high-salinity,corrected_fc,auc_early,5-41,0.37544151241149626,NA,NA,NA,0.9999999483671214
high-salinity,corrected_fc,auc_early,6-41,-0.487557486914739,NA,NA,NA,0.9999890006440173
