phenotype,value_metric,feature,contrast,estimate,SE,df,t.ratio,p.value
high-salinity,corrected_fc,auc_early,14-12,1.3430631187867443,NA,NA,NA,0.1865019867866894
high-salinity,corrected_fc,auc_early,15-12,0.5640271819470564,NA,NA,NA,0.9998259559003724
high-salinity,corrected_fc,auc_early,16-12,0.9906629913696827,NA,NA,NA,0.841243181304931
high-salinity,corrected_fc,auc_early,19-12,1.3554829636629888,NA,NA,NA,0.17282429786524134
high-salinity,corrected_fc,auc_early,2-12,0.35038764460685923,NA,NA,NA,0.9999999777280313
high-salinity,corrected_fc,auc_early,20-12,0.6913715643008009,NA,NA,NA,0.9969288263280025
high-salinity,corrected_fc,auc_early,21-12,1.595698715920809,NA,NA,NA,0.03359390201038748
high-salinity,corrected_fc,auc_early,24-12,2.204567781289618,NA,NA,NA,8.247780427073081e-5
high-salinity,corrected_fc,auc_early,25-12,0.49401707643835824,NA,NA,NA,0.9999801248284941
high-salinity,corrected_fc,auc_early,26-12,1.2231277917845724,NA,NA,NA,0.39850187646587687
high-salinity,corrected_fc,auc_early,31-12,0.7477750310178364,NA,NA,NA,0.9896245265132504
high-salinity,corrected_fc,auc_early,32-12,1.5907029902645293,NA,NA,NA,0.045505710683388045
high-salinity,corrected_fc,auc_early,33-12,0.2001600024272241,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,34-12,0.5109974253120466,NA,NA,NA,0.9999862521996019
high-salinity,corrected_fc,auc_early,36-12,2.18564228371696,NA,NA,NA,7.936227557225894e-5
high-salinity,corrected_fc,auc_early,37-12,1.8325989660159694,NA,NA,NA,0.002759066017115064
high-salinity,corrected_fc,auc_early,38-12,0.6535923961196726,NA,NA,NA,0.9984284373654144
high-salinity,corrected_fc,auc_early,39-12,1.063695233354601,NA,NA,NA,0.7129035135632048
high-salinity,corrected_fc,auc_early,41-12,1.2384256861912797,NA,NA,NA,0.3511783599718715
high-salinity,corrected_fc,auc_early,42-12,2.042912070028852,NA,NA,NA,8.554878541926492e-4
high-salinity,corrected_fc,auc_early,43-12,0.5251990761401308,NA,NA,NA,0.9999299663616024
high-salinity,corrected_fc,auc_early,5-12,1.613867198602776,NA,NA,NA,0.03305440023230999
high-salinity,corrected_fc,auc_early,6-12,0.7508681992765407,NA,NA,NA,0.9875553821228799
high-salinity,corrected_fc,auc_early,7-12,0.8976172060590866,NA,NA,NA,0.9268217108464731
high-salinity,corrected_fc,auc_early,15-14,-0.779035936839688,NA,NA,NA,0.9803922828379941
high-salinity,corrected_fc,auc_early,16-14,-0.3524001274170616,NA,NA,NA,0.9999999895672236
high-salinity,corrected_fc,auc_early,19-14,0.012419844876244479,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,2-14,-0.9926754741798851,NA,NA,NA,0.7789775038169926
high-salinity,corrected_fc,auc_early,20-14,-0.6516915544859434,NA,NA,NA,0.9987216985412286
high-salinity,corrected_fc,auc_early,21-14,0.2526355971340646,NA,NA,NA,0.9999999999854938
high-salinity,corrected_fc,auc_early,24-14,0.8615046625028735,NA,NA,NA,0.9460392049076402
high-salinity,corrected_fc,auc_early,25-14,-0.8490460423483861,NA,NA,NA,0.9431681109932385
high-salinity,corrected_fc,auc_early,26-14,-0.11993532700217191,NA,NA,NA,1
high-salinity,corrected_fc,auc_early,31-14,-0.595288087768908,NA,NA,NA,0.9996387271796363
high-salinity,corrected_fc,auc_early,32-14,0.247639871477785,NA,NA,NA,0.9999999999943159
high-salinity,corrected_fc,auc_early,33-14,-1.1429031163595202,NA,NA,NA,0.4836385956997956
high-salinity,corrected_fc,auc_early,34-14,-0.8320656934746977,NA,NA,NA,0.9746993674497422
high-salinity,corrected_fc,auc_early,36-14,0.8425791649302155,NA,NA,NA,0.9524582253010712
high-salinity,corrected_fc,auc_early,37-14,0.48953584722922505,NA,NA,NA,0.9999801623267499
high-salinity,corrected_fc,auc_early,38-14,-0.6894707226670718,NA,NA,NA,0.9965586658837849
high-salinity,corrected_fc,auc_early,39-14,-0.2793678854321433,NA,NA,NA,0.9999999999136507
high-salinity,corrected_fc,auc_early,41-14,-0.10463743259546465,NA,NA,NA,1
